L1,L2,L3,L4,atc_code,CUI
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AE  Direct thrombin inhibitors,B01AE02,C0378366
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AE  Direct thrombin inhibitors,B01AE02,C0772394
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01F  MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FE  EGFR (Epidermal Growth Factor Receptor) inhibitors,L01FE01,C0995188
R  RESPIRATORY SYSTEM,R05  COUGH AND COLD PREPARATIONS,"R05C  EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB  Mucolytics,R05CB13,C1135662
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX29,C0717670
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AB  Tumor necrosis factor alpha (TNF-alpha) inhibitors,L04AB01,C0717758
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AE  Direct thrombin inhibitors,B01AE06,C0168273
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02A  HORMONES AND RELATED AGENTS,L02AE  Gonadotropin releasing hormone analogues,L02AE51,C0085272
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02A  HORMONES AND RELATED AGENTS,L02AE  Gonadotropin releasing hormone analogues,L02AE02,C0085272
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB11,C0391001
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB61,C0391001
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD02,C0032143
S  SENSORY ORGANS,S01  OPHTHALMOLOGICALS,S01X  OTHER OPHTHALMOLOGICALS,S01XA  Other ophthalmologicals,S01XA13,C0032143
V  VARIOUS,V04  DIAGNOSTIC AGENTS,V04C  OTHER DIAGNOSTIC AGENTS,V04CD  Tests for pituitary function,V04CD03,C0142046
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC  Somatropin and somatropin agonists,H01AC04,C0142046
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB06,C0699817
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03X  OTHER ANTIANEMIC PREPARATIONS,B03XA  Other antianemic preparations,B03XA02,C0937950
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD04,C0042071
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L02  ENDOCRINE THERAPY,L02A  HORMONES AND RELATED AGENTS,L02AE  Gonadotropin releasing hormone analogues,L02AE03,C0120107
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD07,C0256103
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03X  OTHER ANTIANEMIC PREPARATIONS,B03XA  Other antianemic preparations,B03XA01,C0357126
B  BLOOD AND BLOOD FORMING ORGANS,B03  ANTIANEMIC PREPARATIONS,B03X  OTHER ANTIANEMIC PREPARATIONS,B03XA  Other antianemic preparations,B03XA01,C0357131
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05  CALCIUM HOMEOSTASIS,H05B  ANTI-PARATHYROID AGENTS,H05BA  Calcitonin preparations,H05BA01,C0073994
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AA  Colony stimulating factors,L03AA13,C1136535
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AA  Colony stimulating factors,L03AA09,C0216231
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB10,C0796545
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB60,C0796545
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01  ANTINEOPLASTIC AGENTS,L01X  OTHER ANTINEOPLASTIC AGENTS,L01XX  Other antineoplastic agents,L01XX02,C0003993
"H  SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01  PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A  ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AB  Thyrotropin,H01AB01,C2587204
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L04  IMMUNOSUPPRESSANTS,L04A  IMMUNOSUPPRESSANTS,L04AC  Interleukin inhibitors,L04AC03,C0245109
R  RESPIRATORY SYSTEM,R02  THROAT PREPARATIONS,R02A  THROAT PREPARATIONS,R02AB  Antibiotics,R02AB30,C0018165
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD03,C0078956
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AC  Insulins and analogues for injection, intermediate-acting",A10AC01,C0795635
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AC  Insulins and analogues for injection, intermediate-acting",A10AC01,C1695970
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE01,C0795635
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AE  Insulins and analogues for injection, long-acting",A10AE01,C1695970
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB01,C0795635
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AB  Insulins and analogues for injection, fast-acting",A10AB01,C1695970
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD01,C0795635
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,"A10AD  Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD01,C1695970
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,A10AF  Insulins and analogues for inhalation,A10AF01,C0795635
A  ALIMENTARY TRACT AND METABOLISM,A10  DRUGS USED IN DIABETES,A10A  INSULINS AND ANALOGUES,A10AF  Insulins and analogues for inhalation,A10AF01,C1695970
B  BLOOD AND BLOOD FORMING ORGANS,B01  ANTITHROMBOTIC AGENTS,B01A  ANTITHROMBOTIC AGENTS,B01AD  Enzymes,B01AD11,C0872913
L  ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03  IMMUNOSTIMULANTS,L03A  IMMUNOSTIMULANTS,L03AB  Interferons,L03AB04,C0021734
