cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0000378,IN,droxidopa,C01CA27,droxidopa,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA27,droxidopa
C0000402,,,C10AX05,meglutol,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents in ATC,C10AX05,meglutol
C0000473,IN,4-aminobenzoic acid,D02BA01,aminobenzoic acid,D,DERMATOLOGICALS,D02,EMOLLIENTS AND PROTECTIVES,D02B,PROTECTIVES AGAINST UV-RADIATION,D02BA,Protectives against UV-radiation for topical use,D02BA01,aminobenzoic acid
C0000477,IN,dalfampridine,N07XX07,fampridine,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07X,OTHER NERVOUS SYSTEM DRUGS in ATC,N07XX,Other nervous system drugs in ATC,N07XX07,fampridine
C0000578,IN,5-hydroxytryptophan,N06AX01,oxitriptan,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants in ATC,N06AX01,oxitriptan
C0000608,IN,6-aminocaproic acid,B02AA01,aminocaproic acid,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AA,Antifibrinolytic amino acids,B02AA01,aminocaproic acid
C0000618,IN,mercaptopurine,L01BB02,mercaptopurine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,"Purine analogs, antimetabolites antineoplastic",L01BB02,mercaptopurine
C0000665,IN,oxyquinoline,A01AB07,oxyquinoline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB07,oxyquinoline
C0000665,IN,oxyquinoline,D08AH03,oxyquinoline,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AH,"Quinoline derivatives, antiseptics and disinfectants",D08AH03,oxyquinoline
C0000665,IN,oxyquinoline,G01AC30,oxyquinoline,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AC,Quinoline gynecological antiinfectives,G01AC30,oxyquinoline
C0000665,IN,oxyquinoline,R02AA14,oxyquinoline,R,RESPIRATORY SYSTEM DRUGS,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptic throat preparations,R02AA14,oxyquinoline
C0000946,IN,acebutolol,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",C07AB04,acebutolol
C0000956,IN,acenocoumarol,B01AA07,acenocoumarol,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,B01AA07,acenocoumarol
C0000959,IN,acepromazine,N05AA04,acepromazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA04,acepromazine
C0000970,IN,acetaminophen,N02BE01,paracetamol,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BE,Anilide analgesics and antipyretics,N02BE01,paracetamol
C0000981,IN,acetazolamide,S01EC01,acetazolamide,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",S01EC01,acetazolamide
C0000983,IN,acetic acid,G01AD02,acetic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,"Organic acids, Gynecological",G01AD02,acetic acid
C0000983,IN,acetic acid,S02AA10,acetic acid,S,SENSORY ORGAN DRUGS,S02,OTOLOGICALS,S02A,"ANTIINFECTIVE DRUGS, OTOLOGIC",S02AA,Antiinfectives,S02AA10,acetic acid
C0001017,,,V08AA07,acetrizoic acid,V,VARIOUS DRUG CLASSES IN ATC,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media",V08AA07,acetrizoic acid
C0001040,IN,acetylcarnitine,N06BX12,acetylcarnitine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics in ATC,N06BX12,acetylcarnitine
C0001041,IN,acetylcholine,S01EB09,acetylcholine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,"Parasympathomimetics, antiglaucoma preparations and miotics",S01EB09,acetylcholine
C0001047,IN,acetylcysteine,R05CB01,acetylcysteine,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB01,acetylcysteine
C0001047,IN,acetylcysteine,S01XA08,acetylcysteine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS IN ATC,S01XA,Other ophthalmologicals in ATC,S01XA08,acetylcysteine
C0001047,IN,acetylcysteine,V03AB23,acetylcysteine,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB23,acetylcysteine
C0001050,IN,acetyldigoxins,C01AA02,acetyldigoxin,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,C01AA02,acetyldigoxin
C0001143,IN,aclarubicin,L01DB04,aclarubicin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB,Anthracyclines and related substances,L01DB04,aclarubicin
C0001187,IN,acriflavine,D08AA03,euflavine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AA,"Acridine derivatives, antiseptics and disinfectants",D08AA03,euflavine
C0001268,IN,spectinomycin,J01XX04,spectinomycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS in ATC,J01XX,Other antibacterials in ATC,J01XX04,spectinomycin
C0001275,IN,activated charcoal,A07BA01,medicinal charcoal,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07B,INTESTINAL ADSORBENTS,A07BA,"Charcoal preparations, intestinal absorbents",A07BA01,medicinal charcoal
C0001367,IN,acyclovir,D06BB03,aciclovir,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,"Antivirals, topical",D06BB03,aciclovir
C0001367,IN,acyclovir,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB01,aciclovir
C0001367,IN,acyclovir,S01AD03,aciclovir,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AD,"Antivirals, ophthalmologic",S01AD03,aciclovir
C0001443,IN,adenosine,C01EB10,adenosine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01E,OTHER CARDIAC PREPARATIONS in ATC,C01EB,Other plain cardiac preparations in ATC,C01EB10,adenosine
C0001655,IN,corticotropin,H01AA01,corticotropin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA,ACTH and synthetic analog preparations,H01AA01,corticotropin
C0001888,IN,ajmaline,C01BA05,ajmaline,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA05,ajmaline
C0001911,IN,albendazole,P02CA03,albendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,"Benzimidazole derivatives, antinematodal",P02CA03,albendazole
C0001927,IN,albuterol,R03AC02,salbutamol,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonist inhalants,R03AC02,salbutamol
C0001927,IN,albuterol,R03CC02,salbutamol,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CC,"Selective beta-2-adrenoreceptor agonists, systemic",R03CC02,salbutamol
C0001962,IN,ethanol,D08AX08,ethanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants in ATC,D08AX08,ethanol
C0001962,IN,ethanol,V03AB16,ethanol,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB16,ethanol
