UMLS_CUI,Preferred_Term,MS_flag,FAERS_flag,MPRINT_flag
C3498054,5-methyltetrahydrofolic acid,1,0,0
C0724515,abacavir sulfate,1,1,0
C0663655,abacavir,1,1,0
C1619966,abatacept,1,1,0
C3852841,abemaciclib,1,1,0
C2607886,abiraterone acetate,1,1,0
C2719424,abobotulinumtoxinA,1,1,0
C5139788,abrocitinib,1,1,0
C2727031,Acacia allergenic extract 0.01 GM/ML Injectable Solution,1,0,0
C0592789,acamprosate calcium,1,0,0
C0050393,acarbose,1,1,0
C0543447,acebutolol hydrochloride,1,0,0
C0101048,acesulfame potassium,1,0,0
C0000970,acetaminophen,1,1,0
C0718194,Aceta,1,1,0
C0000981,acetazolamide,1,1,0
C0000983,acetic acid,1,1,0
C0050451,acetohydroxamic acid,1,0,0
C0001002,acetone,1,1,0
C0001047,acetylcysteine,1,1,0
C0050559,acitretin,1,1,0
C2699758,aclidinium bromide,1,0,0
C0939870,Aconitum napellus extract,1,0,0
C0054340,acrivastine,1,0,0
C0101303,acrylate,1,0,0
C0001275,activated charcoal,1,1,0
C0001367,acyclovir,1,1,0
C1122087,adalimumab,1,1,0
C4740830,adalimumab-adaz,1,0,0
C5564242,adalimumab-aqvh,1,0,0
C4535390,adalimumab-atto,1,0,0
C5195654,adalimumab-bwwd,1,0,0
C0165631,adapalene,1,1,0
C0540694,adefovir dipivoxil,1,1,0
C3273321,afatinib dimaleate,1,0,0
C1137427,agalsidase beta,1,1,0
C0001911,albendazole,1,1,0
C2607479,albiglutide,1,0,0
C0543495,albuterol sulfate,1,1,0
C0001927,albuterol,1,1,0
C2348241,alcaftadine,1,0,0
C0051113,alclometasone dipropionate,1,1,0
C0218986,aldesleukin,1,1,0
C3853921,alectinib,1,1,0
C0700482,alendronate sodium,1,1,0
C0102130,alfuzosin hydrochloride,1,1,0
C1695579,alglucosidase alfa,1,1,0
C3491162,alirocumab,1,1,0
C1120110,aliskiren,1,1,0
C0281666,alitretinoin,1,1,0
C0002083,allantoin,1,0,0
C0002144,allopurinol,1,1,0
C0102271,almond oil,1,0,0
C0937898,almotriptan malate,1,1,0
C3474139,Alo,1,1,0
C2698057,alogliptin benzoate,1,0,0
C0291771,alosetron hydrochloride,1,0,0
C4055478,alpelisib,1,1,0
C0795657,"alpha 1-proteinase inhibitor, human",1,0,0
C0002268,alpha-D-galactosidase enzyme,1,0,0
C0002333,alprazolam,1,1,0
C0032143,alteplase,1,1,0
C0102840,aluminum chloride,1,0,0
C0002371,aluminum hydroxide,1,1,0
C0002367,aluminum,1,0,0
C0936072,amantadine hydrochloride,1,1,0
C1176329,ambrisentan,1,1,0
C0051556,amcinonide,1,0,0
C0046948,amifampridine,1,0,0
C0002499,amikacin,1,1,0
C0002501,amikacin sulfate,1,1,0
C0546849,amiloride hydrochloride,1,1,0
C0002502,amiloride,1,1,0
C2345469,amino acids 10 % Injectable Solution,1,1,0
C0000608,aminocaproic acid,1,1,0
C0876231,aminolevulinic acid hydrochloride,1,1,0
C0002575,aminophylline,1,1,0
C0700442,amiodarone hydrochloride,1,1,0
C0700523,amitriptyline hydrochloride,1,1,0
C0051696,amlodipine,1,1,0
C0354468,amlodipine besylate,1,1,0
C0718495,ammonium lactate,1,1,0
C0002611,ammonium,1,1,0
C0002644,amoxapine,1,0,0
C0002645,amoxicillin,1,1,0
C0308321,Amoxi Drop,1,1,0
C0002658,amphetamine,1,1,0
C0282051,amphetamine sulfate,1,1,0
C0002679,amphotericin B,1,1,0
C0085795,amphotericin,1,1,0
C0002680,ampicillin,1,1,0
C0282052,ampicillin sodium,1,1,0
C0002712,amylase,1,0,0
C0051771,amyl acetate,1,0,0
C0771907,anagrelide hydrochloride,1,1,0
C0245109,anakinra,1,1,0
C0290883,anastrozole,1,1,0
C0003166,anthralin,1,1,0
C0982025,anti-inhibitor coagulant complex,1,1,0
C4723218,"antihemophilic factor (recombinant), PEGylated-aucl",1,0,0
C4256511,antihemophilic factor (recombinant) single chain 1 UNT Injection,1,0,0
C4083872,antihemophilic factor (recombinant) pegylated,1,0,0
C0700346,"antihemophilic factor, human",1,1,0
C0003420,antipyrine,1,1,0
C1831808,apixaban,1,1,0
C0237406,apomorphine hydrochloride,1,0,0
C0304657,apraclonidine hydrochloride,1,0,0
C1678805,apremilast,1,1,0
C1176306,aprepitant,1,1,0
C1814684,arformoterol tartrate,1,0,0
C0003765,arginine,1,1,0
C0301556,arginine hydrochloride,1,1,0
C0299792,aripiprazole,1,1,0
C4056439,aripiprazole lauroxil,1,1,0
C1701455,armodafinil,1,1,0
C0052429,artemether,1,1,0
C0003968,ascorbic acid,1,1,0
C4688975,Ascor,1,1,0
C2000088,asenapine,1,1,0
C3490795,asfotase alfa,1,1,0
C3255208,asparaginase Erwinia chrysanthemi,1,1,0
C0003993,asparaginase,1,1,0
C0004057,aspirin,1,1,0
C1176383,atazanavir sulfate,1,1,0
C1145759,atazanavir,1,1,0
C0004147,atenolol,1,1,0
C5238205,atogepant,1,0,0
C1170741,atomoxetine hydrochloride,1,1,0
C0286650,atorvastatin calcium,1,1,0
C0165603,atovaquone,1,1,0
C0004259,atropine,1,1,0
C0596005,atropine sulfate,1,1,0
C0052657,attapulgite,1,0,0
C0004320,auranofin,1,0,0
C4507514,avacopan,1,1,0
C5550593,avalglucosidase alfa-ngpt,1,0,0
C2698280,avanafil,1,0,0
C3886460,avatrombopag,1,1,0
C3489748,avibactam,1,1,0
C0097513,avobenzone,1,1,0
C1700874,axitinib,1,1,0
C0004475,azacitidine,1,1,0
C0004482,azathioprine,1,1,0
C0052761,azelaic acid,1,1,0
C0771004,azelastine hydrochloride,1,0,0
C0052762,azelastine,1,1,0
C2698291,azilsartan medoxomil,1,0,0
C1958569,azilsartan,1,0,0
C0052796,azithromycin,1,1,0
C0004521,aztreonam,1,1,0
C0004599,bacitracin,1,1,0
C0043483,bacitracin zinc,1,0,0
C0004609,baclofen,1,1,0
C4688747,baloxavir marboxil,1,1,0
C0595398,balsalazide disodium,1,0,0
C4044947,baricitinib,1,1,0
C0004754,barium sulfate,1,1,0
C0993613,Bar,1,1,0
C0379135,becaplermin,1,0,0
C0004906,beclomethasone dipropionate,1,1,0
C0795584,beclomethasone dipropionate monohydrate,1,1,0
C3530515,bedaquiline fumarate,1,0,0
C1723401,belimumab,1,1,0
C0004954,belladonna alkaloids,1,0,0
C5418179,belumosudil,1,1,0
C5418188,belzutifan,1,0,0
C0770917,benazepril hydrochloride,1,0,0
C0053091,benazepril,1,1,0
C2982078,benralizumab,1,1,0
C0005018,bentonite,1,0,0
C0005026,benzalkonium chloride,1,1,0
C0053230,benznidazole,1,1,0
C0005059,benzocaine,1,1,0
C0005070,benzoin,1,1,0
C0053229,benzonatate,1,1,0
C0005088,benzoyl peroxide,1,1,0
C0546851,benzphetamine hydrochloride,1,0,0
C0053156,benztropine mesylate,1,1,0
C0005100,benzyl alcohol,1,1,0
C0053289,benzyl benzoate,1,1,0
C0053327,benzylpenicilloyl polylysine,1,0,0
C1723019,bepotastine besilate,1,0,0
C5816491,beremagene geperpavec-svdt,1,0,0
C2684343,Bermuda grass pollen extract,1,0,0
C5392453,berotralstat,1,0,0
C2351042,besifloxacin,1,1,0
C0282071,betahistine hydrochloride,1,0,0
C0005304,betaine,1,1,0
C1166065,"betaine, anhydrous",1,0,0
C0282072,betaine hydrochloride,1,0,0
C0005308,betamethasone,1,1,0
C0053523,betamethasone dipropionate,1,1,0
C0718926,"betamethasone dipropionate, augmented",1,1,0
C0700603,betamethasone sodium phosphate,1,1,0
C0750848,betamethasone valerate,1,1,0
C0543470,betaxolol hydrochloride,1,0,0
C0106169,bethanechol chloride,1,0,0
C0796392,bevacizumab,1,1,0
C0765273,bexarotene,1,1,0
C0285590,bicalutamide,1,1,0
C0054465,calcium bicarbonate,1,1,0
C4507568,bictegravir,1,1,0
C0314976,Bifidobacterium infantis,1,0,0
C4691417,Bifidobacterium animalis / Lactobacillus acidophilus,1,0,0
C0937917,bimatoprost,1,1,0
C3899947,binimetinib,1,1,0
C0005575,biotin,1,1,0
C0005632,bisacodyl,1,1,0
C0053792,bismuth subsalicylate,1,1,0
C0106555,bismuth tribromophenate,1,0,0
C0543473,bisoprolol fumarate,1,1,0
C0053799,bisoprolol,1,1,0
C0005739,bleomycin sulfate,1,1,0
C3853839,blinatumomab,1,1,0
C0006020,boric acid,1,0,0
C0252643,bosentan,1,1,0
C2973446,brentuximab vedotin,1,1,0
C3885614,brexpiprazole,1,1,0
C4287815,brigatinib,1,1,0
C0077768,brimonidine tartrate,1,1,0
C0525227,brimonidine,1,1,0
C0673966,brinzolamide,1,1,0
C1699861,brivaracetam,1,1,0
C0054094,bromfenac,1,1,0
C0107211,bromfenac sodium,1,1,0
C0546852,bromocriptine mesylate,1,1,0
C0006246,brompheniramine,1,1,0
C0546853,brompheniramine maleate,1,0,0
C0054201,budesonide,1,1,0
C0006376,bumetanide,1,1,0
C0887621,bupivacaine hydrochloride,1,1,0
C0006400,bupivacaine,1,1,0
