raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
"1,1,1,3,3-Pentafluoropropane/Norflurane",1 1 1 3 3-pentafluoropropane/norflurane,1 - 6 oz benzoyl peroxide 4 wash / 2 benzoyl peroxide 5 medicated bar soap,85.5,C2366106,1 - 6 oz benzoyl peroxide 4 % wash / 2 benzoyl peroxide 5 % Medicated Bar Soap,SY
5-Methyltetrahydrofolate Calcium,5-methyltetrahydrofolate calcium,5-methyltetrahydrofolic acid,83.33333333333334,C3498054,5-methyltetrahydrofolic acid,IN
Acetic Acid Glacial/Oxyquinoline Sulfate,acetic acid glacial/oxyquinoline sulfate,aceneuramic acid,85.5,C2825327,aceneuramic acid,PIN
Acetic Acid/Hydrocortisone,acetic acid/hydrocortisone,aceta,80.0,C0718194,Aceta,BN
Acetone Test,acetone test,aceta,80.0,C0718194,Aceta,BN
Acetone/Fuchsin/Resorcinol,acetone/fuchsin/resorcinol,aceta,80.0,C0718194,Aceta,BN
Agave Syrup/English Ivy Extract,agave /english ivy extract,agaricus campestris var campestris whole extract,85.5,C3668709,Agaricus campestris var. campestris whole extract,IN
Albumin Test,albumin test,albumin aggregated,85.5,C0991769,"albumin,aggregated",IN
Alternaria Extract,alternaria extract,alternanthera sessilis extract,85.5,C4085627,Alternanthera sessilis extract,IN
American Elm Allergen Extract,american elm allergen extract,american elm pollen extract,89.28571428571429,C2701264,American elm pollen extract,IN
Amino Acids/Magnesium,amino acids/magnesium,amino acids 3 with glycerin 3 and electrolytes injectable,85.5,C2345972,amino acids 3 % with glycerin 3 % and electrolytes Injectable Solution,SY
Antibacterial/Analgesic Combination,antibacterial/analgesic combination,anti bac,84.0,C3833282,Anti Bac,BN
Antibacterial/Anesthetic Combination,antibacterial/anesthetic combination,anti bac,84.0,C3833282,Anti Bac,BN
Antibacterial/Anti-inflammatory Combination,antibacterial/anti-inflammatory combination,anti bac,84.0,C3833282,Anti Bac,BN
"Antihemophil Factor Recom, Fc-VWF Fusion Prot-ehtl",antihemophil factor recom fc-vwf fusion prot-ehtl,antihemophilic factor recombinant fc-vwf-xten fusion protein-ehtl,85.96491228070175,C5782713,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein-ehtl",PIN
Antihemophilic Factor (Recomb) Plasma/Albumin-Free,antihemophilic factor recomb plasma/albumin-free,antihemophilic factor b-domain deleted recombinant fc fusion protein 1 unt,85.5,C3833523,antihemophilic factor (b-domain deleted recombinant) FC fusion protein 1 UNT Injection,SY
"Antihemophilic Factor Recomb, Glycopegylated-exei",antihemophilic factor recomb glycopegylated-exei,antihemophilic factor recombinant pegylated-exei,89.58333333333334,C5234188,antihemophilic factor (recombinant) pegylated-exei,PIN
Antihemophilic Factor VIII (Recombinant),antihemophilic factor viii recombinant,antihemophilic factor human recombinant,88.31168831168831,C2732002,"antihemophilic factor, human recombinant",PIN
Antihemophilic Factor VIII Fc Fusion Protein Recom,antihemophilic factor viii fc fusion protein recom,antihemophilic factor human,85.5,C0700346,"antihemophilic factor, human",PIN
APAP/Chlorpheniramine Mal/Phenyleph HCl,apap/chlorpheniramine mal/phenyleph hcl,apap 1000 mg / chlorpheniramine maleate 4 mg / dextromethorphan hbr 30 mg / pseudoephedrine hcl 60 mg powder for oral,85.5,C1876941,APAP 1000 MG / chlorpheniramine maleate 4 MG / dextromethorphan HBr 30 MG / pseudoephedrine HCl 60 MG Powder for Oral Solution,SY
APAP/diphenhydrAMINE hydrochloride/Phenyleph HCl,apap/diphenhydramine hydrochloride/phenyleph hcl,apap 1000 mg / chlorpheniramine maleate 4 mg / dextromethorphan hbr 30 mg / pseudoephedrine hcl 60 mg powder for oral,85.5,C1876941,APAP 1000 MG / chlorpheniramine maleate 4 MG / dextromethorphan HBr 30 MG / pseudoephedrine HCl 60 MG Powder for Oral Solution,SY
APAP/DM Hydrobrom/guaiFENesin/Phenyleph HCl,apap/dm hydrobrom/guaifenesin/phenyleph hcl,apap 1000 mg / chlorpheniramine maleate 4 mg / dextromethorphan hbr 30 mg / pseudoephedrine hcl 60 mg powder for oral,85.5,C1876941,APAP 1000 MG / chlorpheniramine maleate 4 MG / dextromethorphan HBr 30 MG / pseudoephedrine HCl 60 MG Powder for Oral Solution,SY
APAP/DM Hydrobrom/guaiFENesin/PSE HCl,apap/dm hydrobrom/guaifenesin/pse hcl,apap 1000 mg / chlorpheniramine maleate 4 mg / dextromethorphan hbr 30 mg / pseudoephedrine hcl 60 mg powder for oral,85.5,C1876941,APAP 1000 MG / chlorpheniramine maleate 4 MG / dextromethorphan HBr 30 MG / pseudoephedrine HCl 60 MG Powder for Oral Solution,SY
APAP/DM Hydrobrom/Phenyleph HCl,apap/dm hydrobrom/phenyleph hcl,apap 100 mg/ml / phenylephrine hcl 1 56 mg/ml oral,85.5,C1735405,APAP 100 MG/ML / phenylephrine HCl 1.56 MG/ML Oral Solution,SY
Bahia Allergen Extract,bahia allergen extract,bahia grass pollen extract 1 mg/ml,85.5,C3163255,bahia grass pollen extract 1 MG/ML,SCDC
"Bean, Fava/Pea",bean fava/pea,bean cacao allergenic extract 100 mg/ml injectable,85.5,C2721878,bean cacao allergenic extract 100 MG/ML Injectable Solution,SY
Belladonna Extract/Opium,belladonna extract/opium,belladonna extract usp / opium,88.88888888888889,C2929195,"belladonna extract, USP / opium",MIN
Bendroflumethiazide/Nadolol,bendroflumethiazide/nadolol,bendroflumethiazide,82.6086956521739,C0004975,bendroflumethiazide,IN
Benzalkonium Chloride/Pramoxine Hydrochloride,benzalkonium chloride/pramoxine hydrochloride,benactyzine hydrochloride,85.5,C0982039,benactyzine hydrochloride,PIN
Benzocaine/Butamben/Tetracaine,benzocaine/butamben/tetracaine,bencocaine,81.0,C3834228,Bencocaine,BN
Benzocaine/Cetylpyridinium Cl/Menthol/Zn Cl,benzocaine/cetylpyridinium cl/menthol/zn cl,bencocaine,81.0,C3834228,Bencocaine,BN
Benzocaine/Dextromethorphan Hydrobromide,benzocaine/dextromethorphan hydrobromide,bencocaine,81.0,C3834228,Bencocaine,BN
Benzocaine/Docusate Sodium,benzocaine/docusate sodium,benoxinate hcl 0 4 / fluorescein sodium 0 25 ophthalmic,85.5,C0974845,benoxinate HCl 0.4 % / fluorescein sodium 0.25 % Ophthalmic Solution,PSN
Benzocaine/Menthol,benzocaine/menthol,bencocaine,81.0,C3834228,Bencocaine,BN
Benzocaine/Resorcinol,benzocaine/resorcinol,bencocaine,81.0,C3834228,Bencocaine,BN
Benzocaine/Zinc Chloride,benzocaine/zinc chloride,bendroflumethiazide / potassium chloride,85.5,C1874470,bendroflumethiazide / potassium chloride,MIN
Benzoyl Peroxide;Salicylic Acid;Vitamin E,benzoyl peroxide salicylic acid vitamin e,benphothiamine / vitamin b6,85.5,C2929095,benphothiamine / vitamin B6,MIN
Benzoyl Peroxide;Vitamin E,benzoyl peroxide vitamin e,benphothiamine / vitamin b6 oral product,85.5,C3214390,benphothiamine / vitamin B6 Oral Product,SCDG
"Benzoyl Peroxide/Clindamycin Phosphate;Lotion, Mul",benzoyl peroxide/clindamycin phosphate lotion mul,benoxyl 10 10 topical lotion,85.5,C0710234,Benoxyl 10 10 % Topical Lotion,SY
Beta Glucan,beta glucan,beta -carophyllene alcohol,85.5,C2605121,.beta.-carophyllene alcohol,IN
Beta-Hydroxyisovaleric Acid/Milk Protein,beta-hydroxyisovaleric acid/milk protein,beta-hc,83.07692307692308,C0718914,Beta-HC,BN
