Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
"1,1,1,3,3-Pentafluoropropane/Norflurane",1 1 1 3 3-pentafluoropropane/norflurane,1 1 1 3 3-pentafluoropropane/norflurane,,,
5-Methyltetrahydrofolate Calcium,5-methyltetrahydrofolate calcium,5-methyltetrahydrofolate,,,
5-Methyltetrahydrofolic Acid,5-methyltetrahydrofolic acid,5-methyltetrahydrofolic acid,C3498054,5-methyltetrahydrofolic acid,IN
5-Methyltetrahydrofolic Acid/Glucosamine HCl,5-methyltetrahydrofolic acid/glucosamine hcl,5-methyltetrahydrofolic acid/glucosamine,C3498054,5-methyltetrahydrofolic acid,IN
Abacavir Sulfate,abacavir sulfate,abacavir,C0724515,abacavir sulfate,PIN
Abacavir Sulfate/Lamivudine,abacavir sulfate/lamivudine,abacavir sulfate/lamivudine,C0663655,abacavir,IN
Abacavir Sulfate/Lamivudine/Zidovudine,abacavir sulfate/lamivudine/zidovudine,abacavir sulfate/lamivudine/zidovudine,C0663655,abacavir,IN
Abacavir/Dolutegravir/Lamivudine,abacavir/dolutegravir/lamivudine,abacavir/dolutegravir/lamivudine,C0663655,abacavir,IN
Abatacept,abatacept,abatacept,C1619966,abatacept,IN
Abemaciclib,abemaciclib,abemaciclib,C3852841,abemaciclib,IN
Abiraterone Acetate,abiraterone acetate,abiraterone,C2607886,abiraterone acetate,PIN
AbobotulinumtoxinA,abobotulinumtoxina,abobotulinumtoxina,C2719424,abobotulinumtoxinA,PIN
Abrocitinib,abrocitinib,abrocitinib,C5139788,abrocitinib,IN
Acacia,acacia,acacia,C2727031,Acacia allergenic extract 0.01 GM/ML Injectable Solution,SY
Acamprosate Calcium,acamprosate calcium,acamprosate,C0592789,acamprosate calcium,PIN
Acarbose,acarbose,acarbose,C0050393,acarbose,IN
Acebutolol Hydrochloride,acebutolol hydrochloride,acebutolol,C0543447,acebutolol hydrochloride,PIN
Acesulfame Potassium,acesulfame potassium,acesulfame,C0101048,acesulfame potassium,PIN
Acetaminophen,acetaminophen,acetaminophen,C0000970,acetaminophen,IN
Acetaminophen/Aspirin/Caffeine,acetaminophen/aspirin/caffeine,acetaminophen/aspirin/caffeine,C0718194,Aceta,BN
Acetaminophen/Butalbital,acetaminophen/butalbital,acetaminophen/butalbital,C0718194,Aceta,BN
Acetaminophen/Butalbital/Caffeine,acetaminophen/butalbital/caffeine,acetaminophen/butalbital/caffeine,C0718194,Aceta,BN
Acetaminophen/Caffeine,acetaminophen/caffeine,acetaminophen/caffeine,C0718194,Aceta,BN
Acetaminophen/Caffeine/Dihydrocodeine Bitartrate,acetaminophen/caffeine/dihydrocodeine bitartrate,acetaminophen/caffeine/dihydrocodeine,C0000970,acetaminophen,IN
Acetaminophen/Caffeine/Isometheptene Mucate,acetaminophen/caffeine/isometheptene mucate,acetaminophen/caffeine/isometheptene mucate,C0000970,acetaminophen,IN
Acetaminophen/Caffeine/Pyrilamine Maleate,acetaminophen/caffeine/pyrilamine maleate,acetaminophen/caffeine/pyrilamine maleate,C0000970,acetaminophen,IN
Acetaminophen/Codeine Phosphate,acetaminophen/codeine phosphate,acetaminophen/codeine,C0718194,Aceta,BN
Acetaminophen/Dexbrompheniramine Maleate,acetaminophen/dexbrompheniramine maleate,acetaminophen/dexbrompheniramine maleate,C0000970,acetaminophen,IN
Acetaminophen/Diphenhydramine Hydrochloride,acetaminophen/diphenhydramine hydrochloride,acetaminophen/diphenhydramine,C0000970,acetaminophen,IN
Acetaminophen/Hydrocodone Bitartrate,acetaminophen/hydrocodone bitartrate,acetaminophen/hydrocodone,C0718194,Aceta,BN
Acetaminophen/Ibuprofen,acetaminophen/ibuprofen,acetaminophen/ibuprofen,C0718194,Aceta,BN
Acetaminophen/Oxycodone Hydrochloride,acetaminophen/oxycodone hydrochloride,acetaminophen/oxycodone,C0718194,Aceta,BN
Acetaminophen/Pamabrom/Pyrilamine Maleate,acetaminophen/pamabrom/pyrilamine maleate,acetaminophen/pamabrom/pyrilamine maleate,C0000970,acetaminophen,IN
Acetaminophen/Phenyltoloxamine Citrate,acetaminophen/phenyltoloxamine citrate,acetaminophen/phenyltoloxamine citrate,C0718194,Aceta,BN
Acetaminophen/Tramadol Hydrochloride,acetaminophen/tramadol hydrochloride,acetaminophen/tramadol,C0718194,Aceta,BN
Acetazolamide,acetazolamide,acetazolamide,C0000981,acetazolamide,IN
Acetic Acid,acetic acid,acetic acid,C0000983,acetic acid,IN
Acetic Acid Glacial/Oxyquinoline Sulfate,acetic acid glacial/oxyquinoline sulfate,acetic acid glacial/oxyquinoline,,,
Acetic Acid/Aluminum Acetate,acetic acid/aluminum acetate,acetic acid/aluminum,C0718194,Aceta,BN
Acetic Acid/Hydrocortisone,acetic acid/hydrocortisone,acetic acid/hydrocortisone,,,
Acetohydroxamic Acid,acetohydroxamic acid,acetohydroxamic acid,C0050451,acetohydroxamic acid,IN
Acetone,acetone,acetone,C0001002,acetone,IN
Acetone Test,acetone test,acetone test,,,
Acetone/Fuchsin/Resorcinol,acetone/fuchsin/resorcinol,acetone/fuchsin/resorcinol,,,
Acetylcysteine,acetylcysteine,acetylcysteine,C0001047,acetylcysteine,IN
Acetylcysteine/Levomefolate Ca/Methylcobalamin,acetylcysteine/levomefolate ca/methylcobalamin,acetylcysteine/levomefolate ca/methylcobalamin,,,
Acitretin,acitretin,acitretin,C0050559,acitretin,IN
Aclidinium Bromide,aclidinium bromide,aclidinium,C2699758,aclidinium bromide,PIN
Aconitum Napellus,aconitum napellus,aconitum napellus,C0939870,Aconitum napellus extract,IN
Acrivastine/Pseudoephedrine Hydrochloride,acrivastine/pseudoephedrine hydrochloride,acrivastine/pseudoephedrine,C0054340,acrivastine,IN
Acrylate Terpolymer/Hexamethyldisiloxane,acrylate terpolymer/hexamethyldisiloxane,acrylate terpolymer/hexamethyldisiloxane,C0101303,acrylate,IN
Activated Charcoal,activated charcoal,activated charcoal,C0001275,activated charcoal,IN
Acyclovir,acyclovir,acyclovir,C0001367,acyclovir,IN
Acyclovir/Hydrocortisone,acyclovir/hydrocortisone,acyclovir/hydrocortisone,C0001367,acyclovir,IN
Adalimumab,adalimumab,adalimumab,C1122087,adalimumab,IN
Adalimumab-adaz,adalimumab-adaz,adalimumab-adaz,C4740830,adalimumab-adaz,PIN
Adalimumab-aqvh,adalimumab-aqvh,adalimumab-aqvh,C5564242,adalimumab-aqvh,PIN
Adalimumab-atto,adalimumab-atto,adalimumab-atto,C4535390,adalimumab-atto,PIN
Adalimumab-bwwd,adalimumab-bwwd,adalimumab-bwwd,C5195654,adalimumab-bwwd,PIN
Adalimumab;Adalimumab,adalimumab adalimumab,adalimumab adalimumab,C1122087,adalimumab,IN
Adapalene,adapalene,adapalene,C0165631,adapalene,IN
Adapalene/Benzoyl Peroxide,adapalene/benzoyl peroxide,adapalene/benzoyl peroxide,C0165631,adapalene,IN
Adefovir Dipivoxil,adefovir dipivoxil,adefovir dipivoxil,C0540694,adefovir dipivoxil,PIN
Adhesive,adhesive,adhesive,,,
Afatinib Dimaleate,afatinib dimaleate,afatinib dimaleate,C3273321,afatinib dimaleate,PIN
Agalsidase Beta,agalsidase beta,agalsidase beta,C1137427,agalsidase beta,IN
Agave Syrup/English Ivy Extract,agave /english ivy extract,agave /english ivy extract,,,
AHF Human/AHF VIII:C Human,ahf human/ahf viii c human,ahf human/ahf viii c human,,,
AHF Human/Von Willebrand Factor Human,ahf human/von willebrand factor human,ahf human/von willebrand factor human,,,
AHF VIII (Recombinant) Sucrose Formulated,ahf viii recombinant sucrose formulated,ahf viii recombinant sucrose formulated,,,
Albendazole,albendazole,albendazole,C0001911,albendazole,IN
Albiglutide,albiglutide,albiglutide,C2607479,albiglutide,IN
Albumin Test,albumin test,albumin test,,,
Albuterol Sulfate,albuterol sulfate,albuterol,C0543495,albuterol sulfate,PIN
Albuterol Sulfate/Ipratropium Bromide,albuterol sulfate/ipratropium bromide,albuterol sulfate/ipratropium,C0001927,albuterol,IN
Albuterol/Budesonide,albuterol/budesonide,albuterol/budesonide,C0001927,albuterol,IN
Alcaftadine,alcaftadine,alcaftadine,C2348241,alcaftadine,IN
Alclometasone Dipropionate,alclometasone dipropionate,alclometasone dipropionate,C0051113,alclometasone dipropionate,PIN
Aldesleukin,aldesleukin,aldesleukin,C0218986,aldesleukin,IN
Alectinib,alectinib,alectinib,C3853921,alectinib,IN
Alendronate Sodium,alendronate sodium,alendronate,C0700482,alendronate sodium,PIN
Alfuzosin Hydrochloride,alfuzosin hydrochloride,alfuzosin,C0102130,alfuzosin hydrochloride,PIN
Alglucosidase Alfa,alglucosidase alfa,alglucosidase alfa,C1695579,alglucosidase alfa,IN
Alirocumab,alirocumab,alirocumab,C3491162,alirocumab,IN
Aliskiren,aliskiren,aliskiren,C1120110,aliskiren,IN
Alitretinoin,alitretinoin,alitretinoin,C0281666,alitretinoin,IN
Allantoin,allantoin,allantoin,C0002083,allantoin,IN
Allantoin/Lidocaine/Petrolatum,allantoin/lidocaine/petrolatum,allantoin/lidocaine/petrolatum,C0002083,allantoin,IN
Allantoin/Onion Extract,allantoin/onion extract,allantoin/onion extract,C0002083,allantoin,IN
Allopurinol,allopurinol,allopurinol,C0002144,allopurinol,IN
Almond Oil,almond oil,almond oil,C0102271,almond oil,IN
Almotriptan Malate,almotriptan malate,almotriptan malate,C0937898,almotriptan malate,PIN
Aloe Vera,aloe vera,aloe vera,C3474139,Alo,BN
Aloe Vera/Glycerin,aloe vera/glycerin,aloe vera/glycerin,C3474139,Alo,BN
Aloe/Collagen/Lidocaine Hydrochloride,aloe/collagen/lidocaine hydrochloride,aloe/collagen/lidocaine,,,
Aloe/HC Ace/Pramoxine HCl,aloe/hc ace/pramoxine hcl,aloe/hc ace/pramoxine,,,
Aloe/Hydrocortisone Acetate/Iodoquinol,aloe/hydrocortisone acetate/iodoquinol,aloe/hydrocortisone acetate/iodoquinol,,,
Aloe/Iodoquinol,aloe/iodoquinol,aloe/iodoquinol,C3474139,Alo,BN
Alogliptin Benzoate,alogliptin benzoate,alogliptin benzoate,C2698057,alogliptin benzoate,PIN
Alosetron Hydrochloride,alosetron hydrochloride,alosetron,C0291771,alosetron hydrochloride,PIN
Alpelisib,alpelisib,alpelisib,C4055478,alpelisib,IN
Alpelisib;Alpelisib,alpelisib alpelisib,alpelisib alpelisib,C4055478,alpelisib,IN
Alpha-1 Proteinase Inhibitor Human,alpha-1 proteinase inhibitor human,alpha-1 proteinase inhibitor human,C0795657,"alpha 1-proteinase inhibitor, human",PIN
Alpha-D-Galactosidase,alpha-d-galactosidase,alpha-d-galactosidase,C0002268,alpha-D-galactosidase enzyme,IN
Alprazolam,alprazolam,alprazolam,C0002333,alprazolam,IN
"Alteplase, Recombinant",alteplase recombinant,alteplase recombinant,C0032143,alteplase,IN
Alternaria Extract,alternaria extract,alternaria extract,,,
Aluminum Chloride,aluminum chloride,aluminum chloride,C0102840,aluminum chloride,IN
Aluminum Hydroxide,aluminum hydroxide,aluminum hydroxide,C0002371,aluminum hydroxide,IN
Aluminum Hydroxide/Magnesium Carbonate,aluminum hydroxide/magnesium carbonate,aluminum hydroxide/magnesium carbonate,C0002367,aluminum,IN
