Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
C0020275,c0020275,c0020275,,,
C0043392,c0043392,c0043392,,,
C0717551,c0717551,c0717551,,,
C4761457,c4761457,c4761457,,,
C3854019,c3854019,c3854019,,,
C0002607,c0002607,c0002607,,,
C0032821,c0032821,c0032821,,,
C0037494,c0037494,c0037494,,,
C0064582,c0064582,c0064582,,,
C1601799,c1601799,c1601799,,,
C2608095,c2608095,c2608095,,,
C3537171,c3537171,c3537171,,,
C3658295,c3658295,c3658295,,,
C0019046,c0019046,c0019046,,,
C0030054,c0030054,c0030054,,,
C0057437,c0057437,c0057437,,,
C0058347,c0058347,c0058347,,,
C0254123,c0254123,c0254123,,,
C0302920,c0302920,c0302920,,,
C0350411,c0350411,c0350411,,,
C0961780,c0961780,c0961780,,,
C4319618,c4319618,c4319618,,,
C4762301,c4762301,c4762301,,,
C0005308,c0005308,c0005308,,,
C0007012,c0007012,c0007012,,,
C0032952,c0032952,c0032952,,,
C0036773,c0036773,c0036773,,,
C0304925,c0304925,c0304925,,,
C4703827,c4703827,c4703827,,,
C0017861,c0017861,c0017861,,,
C0024452,c0024452,c0024452,,,
C1572738,c1572738,c1572738,,,
C0017725,c0017725,c0017725,,,
C0982177,c0982177,c0982177,,,
C1165603,c1165603,c1165603,,,
C0035661,c0035661,c0035661,,,
C0004906,c0004906,c0004906,,,
C0025815,c0025815,c0025815,,,
C5443072,c5443072,c5443072,,,
C0022245,c0022245,c0022245,,,
C0043047,c0043047,c0043047,,,
C0074722,c0074722,c0074722,,,
C0359299,c0359299,c0359299,,,
C0991883,c0991883,c0991883,,,
C0030123,c0030123,c0030123,,,
C0086761,c0086761,c0086761,,,
C0717403,c0717403,c0717403,,,
C0021968,c0021968,c0021968,,,
C0000975,c0000975,c0000975,,,
C0010294,c0010294,c0010294,,,
C0001962,c0001962,c0001962,,,
C0719741,c0719741,c0719741,,,
C2825044,c2825044,c2825044,,,
C0000970,c0000970,c0000970,,,
C0004057,c0004057,c0004057,,,
C0304348,c0304348,c0304348,,,
C0699278,c0699278,c0699278,,,
C1258986,c1258986,c1258986,,,
C1950939,c1950939,c1950939,,,
C0066080,c0066080,c0066080,,,
C0728873,c0728873,c0728873,,,
C0002860,c0002860,c0002860,,,
C0011185,c0011185,c0011185,,,
C0025326,c0025326,c0025326,,,
C0039601,c0039601,c0039601,,,
C1141639,c1141639,c1141639,,,
C1515405,c1515405,c1515405,,,
C0008286,c0008286,c0008286,,,
C0010124,c0010124,c0010124,,,
C5846635,c5846635,c5846635,,,
C0086140,c0086140,c0086140,,,
C0024002,c0024002,c0024002,,,
C0002520,c0002520,c0002520,,,
C0017890,c0017890,c0017890,,,
C0025787,c0025787,c0025787,,,
C0072186,c0072186,c0072186,,,
C4256149,c4256149,c4256149,,,
C0031617,c0031617,c0031617,,,
C0011892,c0011892,c0011892,,,
C0025376,c0025376,c0025376,,,
C0026549,c0026549,c0026549,,,
C0027355,c0027355,c0027355,,,
C0070108,c0070108,c0070108,,,
C0025688,c0025688,c0025688,,,
C0009008,c0009008,c0009008,,,
C0033308,c0033308,c0033308,,,
C1451497,c1451497,c1451497,,,
C1515388,c1515388,c1515388,,,
C4256086,c4256086,c4256086,,,
C4256087,c4256087,c4256087,,,
C0012203,c0012203,c0012203,,,
C0039644,c0039644,c0039644,,,
C3710841,c3710841,c3710841,,,
C4255917,c4255917,c4255917,,,
C4255918,c4255918,c4255918,,,
C0002059,c0002059,c0002059,,,
C0030095,c0030095,c0030095,,,
C0015091,c0015091,c0015091,,,
C0041485,c0041485,c0041485,,,
C0012010,c0012010,c0012010,,,
C5709333,c5709333,c5709333,,,
C0033497,c0033497,c0033497,,,
C0040160,c0040160,c0040160,,,
C0016786,c0016786,c0016786,,,
C0023607,c0023607,c0023607,,,
C0060787,c0060787,c0060787,,,
C0169964,c0169964,c0169964,,,
C0724588,c0724588,c0724588,,,
C0733758,c0733758,c0733758,,,
C1268876,c1268876,c1268876,,,
C1273043,c1273043,c1273043,,,
C1321947,c1321947,c1321947,,,
C2224211,c2224211,c2224211,,,
C3266859,c3266859,c3266859,,,
C4301617,c4301617,c4301617,,,
C4490581,c4490581,c4490581,,,
C4740844,c4740844,c4740844,,,
C4759809,c4759809,c4759809,,,
C0015840,c0015840,c0015840,,,
C0016986,c0016986,c0016986,,,
C0023566,c0023566,c0023566,,,
C0028368,c0028368,c0028368,,,
C0057277,c0057277,c0057277,,,
C0373704,c0373704,c0373704,,,
C0003765,c0003765,c0003765,,,
C0015982,c0015982,c0015982,,,
C0016006,c0016006,c0016006,,,
C0016016,c0016016,c0016016,,,
C0032140,c0032140,c0032140,,,
C0033706,c0033706,c0033706,,,
C0038418,c0038418,c0038418,,,
C0040018,c0040018,c0040018,,,
C1337342,c1337342,c1337342,,,
C2587184,c2587184,c2587184,,,
C2828369,c2828369,c2828369,,,
C4255566,c4255566,c4255566,,,
C4316907,c4316907,c4316907,,,
C4490317,c4490317,c4490317,,,
C4721799,c4721799,c4721799,,,
C5455400,c5455400,c5455400,,,
C0025624,c0025624,c0025624,,,
C0020934,c0020934,c0020934,,,
C0031441,c0031441,c0031441,,,
C4082435,c4082435,c4082435,,,
C0006400,c0006400,c0006400,,,
C0028215,c0028215,c0028215,,,
C0873118,c0873118,c0873118,,,
C0001655,c0001655,c0001655,,,
C0006949,c0006949,c0006949,,,
C0031412,c0031412,c0031412,,,
C0031507,c0031507,c0031507,,,
C2700141,c2700141,c2700141,,,
C4255705,c4255705,c4255705,,,
C5201181,c5201181,c5201181,,,
C5834501,c5834501,c5834501,,,
C5834503,c5834503,c5834503,,,
C0022614,c0022614,c0022614,,,
C0079883,c0079883,c0079883,,,
C0701928,c0701928,c0701928,,,
C2825616,c2825616,c2825616,,,
C0004259,c0004259,c0004259,,,
C0016860,c0016860,c0016860,,,
C0028040,c0028040,c0028040,,,
C0048176,c0048176,c0048176,,,
C0068722,c0068722,c0068722,,,
C0596004,c0596004,c0596004,,,
C1950445,c1950445,c1950445,,,
C2701271,c2701271,c2701271,,,
C4490579,c4490579,c4490579,,,
C0014277,c0014277,c0014277,,,
