fda_drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
delta8tetrahydrocannabinolherbals,delta8tetrahydrocannabinolherbals,delta8tetrahydrocannabinolherbals,,,
02 fluconazole and 09 sodium chloride injection,02 fluconazole and 09 sodium chloride,02 fluconazole and 09 chloride,,,
09 sodium chloride injection,09 sodium chloride,09 chloride,,,
10 dextrose injection,10 dextrose,10 dextrose,,,
10 dextrose injection usp 500ml,10 dextrose usp 500ml,10 dextrose usp 500ml,,,
10 dextrose injection usp,10 dextrose usp,10 dextrose usp,,,
10 dextrose injection usp,10 dextrose usp,10 dextrose usp,,,
10 glucose injection,10 glucose,10 glucose,,,
23dimercaptosuccinic acid,23dimercaptosuccinic acid,23dimercaptosuccinic acid,,,
20 mannitol injection,20 mannitol,20 mannitol,,,
25hydroxyvitamin d3,25hydroxyvitamin d3,25hydroxyvitamin d3,,,
3tc complex,3tc complex,3tc complex,,,
489 lisdexamfetamine dimesylate,489 lisdexamfetamine dimesylate,489 lisdexamfetamine dimesylate,,,
5 dextrose injection usp,5 dextrose usp,5 dextrose usp,,,
5 dextrose injection,5 dextrose,5 dextrose,,,
5 glucose injection,5 glucose,5 glucose,,,
5 glucose and 09 sodium chloride injection,5 glucose and 09 sodium chloride,5 glucose and 09 chloride,,,
5 sodium chloride injection,5 sodium chloride,5 chloride,,,
5aminosalicylic acid,5aminosalicylic acid,5aminosalicylic acid,,,
5asa,5asa,5asa,,,
5fluorouracil,5fluorouracil,5fluorouracil,,,
5fu fluorouracil,5fu fluorouracil,5fu fluorouracil,,,
50 dextrose injection usp,50 dextrose usp,50 dextrose usp,,,
5 fu,5 fu,5 fu,,,
6 mp,6 mp,6 mp,,,
6mercaptopurine,6mercaptopurine,6mercaptopurine,,,
6mercaptopurine monohydrate,6mercaptopurine monohydrate,6mercaptopurine monohydrate,,,
6mp,6mp,6mp,,,
6mercaptopurine monohydrate,6mercaptopurine monohydrate,6mercaptopurine monohydrate,,,
6mercaptopurine,6mercaptopurine,6mercaptopurine,,,
6 mercaptopurine monohydrate,6 mercaptopurine monohydrate,6 mercaptopurine monohydrate,,,
6 mercaptopurine,6 mercaptopurine,6 mercaptopurine,,,
70 dextrose injection usp,70 dextrose usp,70 dextrose usp,,,
acc acute,acc acute,acc acute,,,
acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,acetylcysteine manufacturer unknown acetylcysteine acetylcysteine,,,
acetylcysteine biogaran,acetylcysteine biogaran,acetylcysteine biogaran,,,
acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,,,
acetylsalicylic acid100 mg,acetylsalicylic acid100 mg,acetylsalicylic acid100 mg,,,
aciclovir,aciclovir,aciclovir,,,
aciclovir aciclovir,aciclovir aciclovir,aciclovir aciclovir,,,
aciclovir mylan 250 mg poudre pour solution injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,,,
aciclovir mylan 250 mg powder for solution for iv injection,aciclovir mylan 250 mg powder for for iv,aciclovir mylan 250 mg powder for for iv,,,
aciclovir mylan 250 mg poudre pour solution injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,aciclovir mylan 250 mg poudre pour injectable iv,,,
aciclovir rpg 5 creme,aciclovir rpg 5 creme,aciclovir rpg 5 creme,,,
acide clavulanique,acide clavulanique,acide clavulanique,,,
acide folinique,acide folinique,acide folinique,,,
acide folique,acide folique,acide folique,,,
actilyse,actilyse,actilyse,,,
actinomycin,actinomycin,actinomycin,,,
actinomycin c,actinomycin c,actinomycin c,,,
actinomycin d,actinomycin d,actinomycin d,,,
actinomycine d,actinomycine d,actinomycine d,,,
actinomycines,actinomycines,actinomycines,,,
actiskenan,actiskenan,actiskenan,,,
actrapid,actrapid,actrapid,,,
acz885,acz885,acz885,,,
addamel n,addamel n,addamel n,,,
addaven,addaven,addaven,,,
adoport,adoport,adoport,,,
adreview,adreview,adreview,,,
adriacin,adriacin,adriacin,,,
advagraf,advagraf,advagraf,,,
advate 250 iu injektiokuivaaine ja liuotin liuosta varten,advate 250 iu injektiokuivaaine ja liuotin liuosta varten,advate 250 iu injektiokuivaaine ja liuotin liuosta varten,,,
advil enfants et nourrissons 20 mg1 ml suspension buvable en flacon,advil enfants et nourrissons 20 mg1 ml buvable en flacon,advil enfants et nourrissons 20 mg1 ml buvable en flacon,,,
aerius,aerius,aerius,,,
