cui,rxnorm_tty,rxnorm_name,atc_codes,atc_labels
C0000334,,,,
C0000378,IN,droxidopa,C01CA27,droxidopa
C0000379,,,,
C0000392,IN,beta-alanine,,
C0000402,,,C10AX05,meglutol
C0000407,,,,
C0000473,IN,4-aminobenzoic acid,D02BA01,aminobenzoic acid
C0000477,IN,dalfampridine,N07XX07,fampridine
C0000481,,,,
C0000503,IN,oxybate,,
C0000545,PIN,eicosapentaenoic acid,,
C0000578,IN,5-hydroxytryptophan,N06AX01,oxitriptan
C0000608,IN,6-aminocaproic acid,B02AA01,aminocaproic acid
C0000618,IN,mercaptopurine,L01BB02,mercaptopurine
C0000658,,,,
C0000665,IN,oxyquinoline,A01AB07;D08AH03;G01AC30;R02AA14,oxyquinoline
C0000714,,,,
C0000843,,,,
C0000946,IN,acebutolol,C07AB04,acebutolol
C0000956,IN,acenocoumarol,B01AA07,acenocoumarol
C0000959,IN,acepromazine,N05AA04,acepromazine
C0000970,IN,acetaminophen,N02BE01,paracetamol
C0000975,IN,acetate,,
C0000981,IN,acetazolamide,S01EC01,acetazolamide
C0000983,IN,acetic acid,G01AD02;S02AA10,acetic acid
C0001017,,,V08AA07,acetrizoic acid
C0001040,IN,acetylcarnitine,N06BX12,acetylcarnitine
C0001041,IN,acetylcholine,S01EB09,acetylcholine
C0001047,IN,acetylcysteine,R05CB01;S01XA08;V03AB23,acetylcysteine
C0001050,IN,acetyldigoxins,C01AA02,acetyldigoxin
C0001052,IN,acetylene,,
C0001056,IN,acetylglucosamine,,
C0001061,,,,
C0001128,,,,
C0001143,IN,aclarubicin,L01DB04,aclarubicin
C0001187,IN,acriflavine,D08AA03,euflavine
C0001237,,,,
C0001246,,,,
C0001268,IN,spectinomycin,J01XX04,spectinomycin
C0001275,IN,activated charcoal,A07BA01,medicinal charcoal
C0001367,IN,acyclovir,D06BB03;J05AB01;S01AD03,aciclovir
C0001392,,,,
C0001443,IN,adenosine,C01EB10,adenosine
C0001457,,,,
C0001459,,,,
C0001465,PIN,adenosine monophosphate,,
C0001480,IN,adenosine triphosphate,,
C0001655,IN,corticotropin,H01AA01,corticotropin
C0001814,,,,
C0001888,IN,ajmaline,C01BA05,ajmaline
C0001898,IN,alanine,,
C0001911,IN,albendazole,P02CA03,albendazole
C0001924,,,,
C0001927,IN,albuterol,R03AC02;R03CC02,salbutamol
C0001962,IN,ethanol,D08AX08;V03AB16;V03AZ01,ethanol
C0001964,IN,1-propanol,D08AX03,propanol
C0001981,IN,alcuronium,M03AA01,alcuronium
C0002006,IN,aldosterone,H02AA01,aldosterone
C0002026,IN,alfentanil,N01AH02,alfentanil
C0002027,,,,
C0002039,,,,
C0002059,,,,
C0002083,IN,allantoin,,
C0002132,IN,allobarbital,N05CA21,allobarbital
C0002139,,,,
C0002144,IN,allopurinol,M04AA01,allopurinol
C0002158,IN,allylestrenol,G03DC01,allylestrenol
C0002164,IN,almitrine,R07AB07,almitrine
C0002191,IN,alpha 1-antitrypsin,B02AB02,alfa1 antitrypsin
C0002199,,,L03AB01,interferon alfa natural
C0002245,,,,
C0002260,IN,eflornithine,D11AX16;L01XX79;P01CX03,eflornithine
C0002268,IN,alpha-D-galactosidase enzyme,,
C0002272,IN,alpha glucosidase,,
C0002287,,,,
C0002302,,,,
C0002327,IN,alphaprodine,,
C0002328,IN,algestone,,
C0002333,IN,alprazolam,N05BA12,alprazolam
C0002334,IN,alprenolol,C07AA01,alprenolol
C0002335,IN,alprostadil,C01EA01;G04BE01,alprostadil
C0002367,IN,aluminum,,
C0002371,IN,aluminum hydroxide,A02AB01,aluminium hydroxide
C0002374,IN,aluminum oxide,D10AX04,aluminium oxide
C0002403,IN,amantadine,N04BB01,amantadine
C0002412,IN,ambenonium,N07AA30,ambenonium
C0002421,IN,ambroxol,R02AD05;R05CB06,ambroxol
C0002435,IN,amdinocillin,J01CA11,mecillinam
C0002436,IN,amdinocillin pivoxil,J01CA08,pivmecillinam
C0002475,IN,mitomycin,L01DC03,mitomycin
C0002496,,,,
C0002499,IN,amikacin,D06AX12;J01GB06;S01AA21,amikacin
C0002502,IN,amiloride,C03DB01,amiloride
C0002503,IN,aminacrine,D08AA02,aminoacridine
C0002520,,,B05BA01,amino acids
C0002555,IN,aminoglutethimide,L02BG01,aminoglutethimide
C0002560,,,,
C0002563,IN,aminolevulinic acid,L01XD04,aminolevulinic acid
C0002575,IN,aminophylline,R03DA05,aminophylline
C0002583,IN,aminopterin,,
C0002586,IN,aminopyrine,N02BB03,aminophenazone
C0002589,,,,
C0002598,IN,amiodarone,C01BD01,amiodarone
C0002600,IN,amitriptyline,N06AA09,amitriptyline
C0002607,IN,ammonia,,
C0002615,IN,ammonium chloride,B05XA04;G04BA01,ammonium chloride
C0002640,IN,amobarbital,N05CA02,amobarbital
C0002641,IN,amodiaquine,P01BA06,amodiaquine
C0002644,IN,amoxapine,N06AA17,amoxapine
C0002645,IN,amoxicillin,J01CA04,amoxicillin
C0002658,IN,amphetamine,N06BA01,amfetamine
C0002679,IN,amphotericin B,A01AB04;A07AA07;G01AA03;J02AA01,amphotericin B
C0002680,IN,ampicillin,J01CA01;S01AA19,ampicillin
C0002686,IN,amprolium,,
C0002697,IN,inamrinone,C01CE01,amrinone
C0002699,IN,amsacrine,L01XX01,amsacrine
C0002711,IN,amyl nitrite,V03AB22,amyl nitrite
C0002728,IN,amylopectin,,
C0002732,,,,
C0002823,IN,ancrod,B01AD09,ancrod
C0002860,IN,androstenedione,,
C0003001,,,C01CX06,angiotensinamide
C0003009,IN,angiotensin II,C01CX09,angiotensin II
C0003018,,,,
C0003036,IN,aniline,,
C0003082,,,,
C0003143,IN,antazoline,R01AC04;R06AX05,antazoline
