raw_drug,query,matched_str,score,CUI,Preferred_STR,Preferred_TTY
Agave Syrup/English Ivy Extract,agave /english ivy extract,2-hydroxy-1 2-di phenyl ethanone extract,85.5,C0005070,"2-hydroxy-1,2-di(phenyl)ethanone extract",SY
AHF Human/AHF VIII:C Human,ahf human/ahf viii c human,0 5 ml human papillomavirus type 16 l1 capsid protein residues 2-471 vaccine 0 04 mg/ml / human papillomavirus type 18 l1 capsid protein residues 2-472 vaccine 0 04 mg/ml prefilled syringe,85.5,C2723808,"0.5 ML human papillomavirus type 16, L1 capsid protein (residues 2-471) vaccine 0.04 MG/ML / human papillomavirus type 18, L1 capsid protein (residues 2-472) vaccine 0.04 MG/ML Prefilled Syringe",SCD
Albumin Test,albumin test,100 ml albumin human usp 200 mg/ml,85.5,C4082323,"100 ML albumin human, USP 200 MG/ML Injection",SCD
American Elm Allergen Extract,american elm allergen extract,american elm pollen extract,89.28571428571429,C2701264,American elm pollen extract,IN
Antibacterial/Analgesic Combination,antibacterial/analgesic combination,1 0 32 oz miconazole 2 vaginal monistat / 3 miconazole 200 mg vaginal insert monistat pack monistat 3 day ovule combination pack,85.5,C2732060,{1 (0.32 OZ) (miconazole nitrate 2 % Vaginal Cream [Monistat]) / 3 (miconazole nitrate 200 MG Vaginal Insert [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack],SY
Antibacterial/Anesthetic Combination,antibacterial/anesthetic combination,1 0 32 oz miconazole 2 vaginal monistat / 3 miconazole 200 mg vaginal insert monistat pack monistat 3 day ovule combination pack,85.5,C2732060,{1 (0.32 OZ) (miconazole nitrate 2 % Vaginal Cream [Monistat]) / 3 (miconazole nitrate 200 MG Vaginal Insert [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack],SY
Antibacterial/Anti-inflammatory Combination,antibacterial/anti-inflammatory combination,1 0 32 oz miconazole 2 vaginal monistat / 3 miconazole 200 mg vaginal insert monistat pack monistat 3 day ovule combination pack,85.5,C2732060,{1 (0.32 OZ) (miconazole nitrate 2 % Vaginal Cream [Monistat]) / 3 (miconazole nitrate 200 MG Vaginal Insert [Monistat]) } Pack [Monistat 3 Day Ovule Combination Pack],SY
"Antihemophil Factor Recom, Fc-VWF Fusion Prot-ehtl",antihemophil factor recom fc-vwf fusion prot-ehtl,antihemophilic factor recombinant fc-vwf-xten fusion protein-ehtl,85.96491228070175,C5782713,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein-ehtl",PIN
Antihemophilic Factor (Recomb) Plasma/Albumin-Free,antihemophilic factor recomb plasma/albumin-free,1-743 - 1638-2332 -blood-coagulation factor viii synthetic human fusion protein with immunoglobulin g1 synthetic human fc domain fragment 1444-6 1447-9 -bis disulfide with immunoglobulin g1 synthetic human fc domain fragment,85.5,C3834170,"(1-743)-(1638-2332)-blood-coagulation factor VIII (synthetic human) fusion protein with immunoglobulin G1 (synthetic human fc domain fragment), (1444-6'),(1447-9')-bis(disulfide) with immunoglobulin G1 (synthetic human fc domain fragment)",SY
"Antihemophilic Factor Recomb, Glycopegylated-exei",antihemophilic factor recomb glycopegylated-exei,antihemophilic factor recombinant pegylated-exei,89.58333333333334,C5234188,antihemophilic factor (recombinant) pegylated-exei,PIN
