Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
vincristine sulfate,vincristine sulfate,vincristine,C0042680,vincristine sulfate,PIN
cytarabine,cytarabine,cytarabine,C0010711,cytarabine,IN
alphatocopherol acetate,alphatocopherol acetate,alphatocopherol,C1999896,alpha-tocopherol acetate,PIN
alphatocopherol acetate d,alphatocopherol acetate d,alphatocopherol d,C1999896,alpha-tocopherol acetate,PIN
delta8tetrahydrocannabinolherbals,delta8tetrahydrocannabinolherbals,delta8tetrahydrocannabinolherbals,C0006865,cannabinol,IN
02 fluconazole and 09 sodium chloride injection,02 fluconazole and 09 sodium chloride,02 fluconazole and 09 chloride,C0006686,calcium chloride,IN
09 sodium chloride injection,09 sodium chloride,09 chloride,C0037494,sodium chloride,IN
10 dextrose injection,10 dextrose,10 dextrose,C0773367,dextrose 10 % Injection,SY
10 dextrose injection usp 500ml,10 dextrose usp 500ml,10 dextrose usp 500ml,,,
10 dextrose injection usp,10 dextrose usp,10 dextrose usp,C0773367,dextrose 10 % Injection,SY
10 glucose injection,10 glucose,10 glucose,C0017725,glucose,IN
23dimercaptosuccinic acid,23dimercaptosuccinic acid,23dimercaptosuccinic acid,C1875873,"2,3-dimercaptosuccinic acid",SY
20 mannitol injection,20 mannitol,20 mannitol,C0024730,mannitol,IN
25hydroxyvitamin d3,25hydroxyvitamin d3,25hydroxyvitamin d3,C0042866,vitamin D,IN
3tc,3tc,3tc,C0692468,3TC 10 MG/ML Oral Solution,SY
3tc complex,3tc complex,3tc complex,,,
489 lisdexamfetamine dimesylate,489 lisdexamfetamine dimesylate,489 lisdexamfetamine dimesylate,C1739826,lisdexamfetamine dimesylate,PIN
5 dextrose injection usp,5 dextrose usp,5 dextrose usp,C4082773,dextrose 5 % Injection,SY
5 dextrose injection,5 dextrose,5 dextrose,C4082773,dextrose 5 % Injection,SY
5 glucose injection,5 glucose,5 glucose,C0017725,glucose,IN
5 glucose and 09 sodium chloride injection,5 glucose and 09 sodium chloride,5 glucose and 09 chloride,C0360665,glucose / sodium chloride,MIN
5 sodium chloride injection,5 sodium chloride,5 chloride,C0037494,sodium chloride,IN
5aminosalicylic acid,5aminosalicylic acid,5aminosalicylic acid,C0030125,aminosalicylic acid,IN
5asa,5asa,5asa,,,
5fluorouracil,5fluorouracil,5fluorouracil,C0016360,fluorouracil,IN
5fu fluorouracil,5fu fluorouracil,5fu fluorouracil,C0016360,fluorouracil,IN
50 dextrose injection usp,50 dextrose usp,50 dextrose usp,C4082715,dextrose 50 % Injection,SY
5 fu,5 fu,5 fu,C5763321,{35 (futibatinib 4 MG Oral Tablet) } Pack,GPCK
6 mp,6 mp,6 mp,,,
6mercaptopurine,6mercaptopurine,6mercaptopurine,C0000618,mercaptopurine,IN
6mercaptopurine monohydrate,6mercaptopurine monohydrate,6mercaptopurine monohydrate,C0000618,mercaptopurine,IN
6mp,6mp,6mp,,,
6 mercaptopurine monohydrate,6 mercaptopurine monohydrate,6 mercaptopurine monohydrate,C0000618,mercaptopurine,IN
6 mercaptopurine,6 mercaptopurine,6 mercaptopurine,C0000618,mercaptopurine,IN
70 dextrose injection usp,70 dextrose usp,70 dextrose usp,,,
abacavir,abacavir,abacavir,C0663655,abacavir,IN
abacavir and lamivudine tablets,abacavir and lamivudine,abacavir and lamivudine,C1613391,abacavir / lamiVUDine,TMSY
abacavir sulfate lamivudine,abacavir sulfate lamivudine,abacavir lamivudine,C1613391,abacavir / lamiVUDine,TMSY
abacavir sulfatedolutegravir sodiumlamivudine,abacavir sulfatedolutegravir sodiumlamivudine,abacavir sulfatedolutegravir sodiumlamivudine,C0663655,abacavir,IN
abacavir sulfatelamivudine,abacavir sulfatelamivudine,abacavir sulfatelamivudine,C0663655,abacavir,IN
abacavir wlamivudine,abacavir wlamivudine,abacavir wlamivudine,C1613391,abacavir / lamiVUDine,TMSY
abacavirlamivudine,abacavirlamivudine,abacavirlamivudine,C1613391,abacavir / lamiVUDine,TMSY
abatacept,abatacept,abatacept,C1619966,abatacept,IN
abilify,abilify,abilify,C1170019,Abilify,BN
abilify asimtufii,abilify asimtufii,abilify asimtufii,C1170019,Abilify,BN
abilify discmelt tabs,abilify discmelt,abilify discmelt,C1170019,Abilify,BN
abilify maintena,abilify maintena,abilify maintena,C3853920,Abilify Maintena 300 MG Injection,SY
abraxane,abraxane,abraxane,C1564985,Abraxane,BN
abrilada,abrilada,abrilada,C5854168,Abrilada,BN
acc,acc,acc,C0526502,Accolate,BN
acc acute,acc acute,acc acute,,,
accutane,accutane,accutane,C0699581,Accutane,BN
acebutolol,acebutolol,acebutolol,C0000946,acebutolol,IN
acetaminofen,acetaminofen,acetaminofen,C0718194,Aceta,BN
acetaminophen,acetaminophen,acetaminophen,C0000970,acetaminophen,IN
acetaminophen paracetamol,acetaminophen paracetamol,acetaminophen paracetamol,C0718194,Aceta,BN
acetaminophen manufacturer unknown,acetaminophen manufacturer unknown,acetaminophen manufacturer unknown,C0718194,Aceta,BN
acetaminophen and codeine,acetaminophen and codeine,acetaminophen and codeine,C2351132,acetaminophen / codeine,MIN
acetaminophen whydrocodone,acetaminophen whydrocodone,acetaminophen whydrocodone,C0717367,acetaminophen / HYDROcodone,TMSY
acetaminophen whydrocodone teva,acetaminophen whydrocodone teva,acetaminophen whydrocodone teva,C0718194,Aceta,BN
acetaminophen woxycodone,acetaminophen woxycodone,acetaminophen woxycodone,C0717368,acetaminophen / oxyCODONE,TMSY
