Drug,clean_drug,base_drug,UMLS_CUI,Preferred_Term,Preferred_TTY
"1,1,1,3,3-Pentafluoropropane/Norflurane",1 1 1 3 3-pentafluoropropane/norflurane,1 1 1 3 3-pentafluoropropane/norflurane,C0068988,norflurane,IN
5-Methyltetrahydrofolate Calcium,5-methyltetrahydrofolate calcium,5-methyltetrahydrofolate,C0006675,calcium,IN
5-Methyltetrahydrofolic Acid,5-methyltetrahydrofolic acid,5-methyltetrahydrofolic acid,C3498054,5-methyltetrahydrofolic acid,IN
5-Methyltetrahydrofolic Acid/Glucosamine HCl,5-methyltetrahydrofolic acid/glucosamine hcl,5-methyltetrahydrofolic acid/glucosamine,C3498054,5-methyltetrahydrofolic acid,IN
Abacavir Sulfate,abacavir sulfate,abacavir,C0724515,abacavir sulfate,PIN
Abacavir Sulfate/Lamivudine,abacavir sulfate/lamivudine,abacavir sulfate/lamivudine,C0663655,abacavir,IN
Abacavir Sulfate/Lamivudine/Zidovudine,abacavir sulfate/lamivudine/zidovudine,abacavir sulfate/lamivudine/zidovudine,C0663655,abacavir,IN
Abacavir/Dolutegravir/Lamivudine,abacavir/dolutegravir/lamivudine,abacavir/dolutegravir/lamivudine,C3854896,abacavir / dolutegravir / lamiVUDine,TMSY
Abatacept,abatacept,abatacept,C1619966,abatacept,IN
Abemaciclib,abemaciclib,abemaciclib,C3852841,abemaciclib,IN
Abiraterone Acetate,abiraterone acetate,abiraterone,C2607886,abiraterone acetate,PIN
AbobotulinumtoxinA,abobotulinumtoxina,abobotulinumtoxina,C2719424,abobotulinumtoxinA,PIN
Abrocitinib,abrocitinib,abrocitinib,C5139788,abrocitinib,IN
Acacia,acacia,acacia,C2727031,Acacia allergenic extract 0.01 GM/ML Injectable Solution,SY
Acamprosate Calcium,acamprosate calcium,acamprosate,C0592789,acamprosate calcium,PIN
Acarbose,acarbose,acarbose,C0050393,acarbose,IN
Acebutolol Hydrochloride,acebutolol hydrochloride,acebutolol,C0543447,acebutolol hydrochloride,PIN
Acesulfame Potassium,acesulfame potassium,acesulfame,C0101048,acesulfame potassium,PIN
Acetaminophen,acetaminophen,acetaminophen,C0000970,acetaminophen,IN
Acetaminophen/Aspirin/Caffeine,acetaminophen/aspirin/caffeine,acetaminophen/aspirin/caffeine,C1445818,acetaminophen / aspirin / caffeine,MIN
Acetaminophen/Butalbital,acetaminophen/butalbital,acetaminophen/butalbital,C0717361,acetaminophen / butalbital,MIN
Acetaminophen/Butalbital/Caffeine,acetaminophen/butalbital/caffeine,acetaminophen/butalbital/caffeine,C0717309,acetaminophen / butalbital / caffeine,MIN
Acetaminophen/Caffeine,acetaminophen/caffeine,acetaminophen/caffeine,C0360470,acetaminophen / caffeine,MIN
Acetaminophen/Caffeine/Dihydrocodeine Bitartrate,acetaminophen/caffeine/dihydrocodeine bitartrate,acetaminophen/caffeine/dihydrocodeine,C4719902,acetaminophen / caffeine / dihydrocodeine bitartrate Oral Capsule,SCDFP
Acetaminophen/Caffeine/Isometheptene Mucate,acetaminophen/caffeine/isometheptene mucate,acetaminophen/caffeine/isometheptene mucate,C5837395,acetaminophen / caffeine / isometheptene mucate Oral Tablet,SCDFP
Acetaminophen/Caffeine/Pyrilamine Maleate,acetaminophen/caffeine/pyrilamine maleate,acetaminophen/caffeine/pyrilamine maleate,C5835782,acetaminophen / caffeine / pyrilamine maleate Oral Capsule,SCDFP
Acetaminophen/Codeine Phosphate,acetaminophen/codeine phosphate,acetaminophen/codeine,C0718194,Aceta,BN
Acetaminophen/Dexbrompheniramine Maleate,acetaminophen/dexbrompheniramine maleate,acetaminophen/dexbrompheniramine maleate,C4720121,acetaminophen / dexbrompheniramine maleate Oral Tablet,SCDFP
Acetaminophen/Diphenhydramine Hydrochloride,acetaminophen/diphenhydramine hydrochloride,acetaminophen/diphenhydramine,C4720162,acetaminophen / diphenhydrAMINE hydrochloride Oral Capsule,TMSY
Acetaminophen/Hydrocodone Bitartrate,acetaminophen/hydrocodone bitartrate,acetaminophen/hydrocodone,C4723564,acetaminophen / HYDROcodone bitartrate Oral Capsule,TMSY
Acetaminophen/Ibuprofen,acetaminophen/ibuprofen,acetaminophen/ibuprofen,C2047874,acetaminophen / ibuprofen,MIN
