cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name,unique_pub_count
C0000378,IN,droxidopa,C01CA27,droxidopa,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01C,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,C01CA,Adrenergic and dopaminergic cardiac stimulants,C01CA27,droxidopa,8
C0000402,,,C10AX05,meglutol,C,CARDIOVASCULAR SYSTEM DRUGS,C10,LIPID MODIFYING AGENTS,C10A,"LIPID MODIFYING AGENTS, PLAIN",C10AX,Other lipid modifying agents in ATC,C10AX05,meglutol,42
C0000473,IN,4-aminobenzoic acid,D02BA01,aminobenzoic acid,D,DERMATOLOGICALS,D02,EMOLLIENTS AND PROTECTIVES,D02B,PROTECTIVES AGAINST UV-RADIATION,D02BA,Protectives against UV-radiation for topical use,D02BA01,aminobenzoic acid,56
C0000477,IN,dalfampridine,N07XX07,fampridine,N,NERVOUS SYSTEM DRUGS,N07,OTHER NERVOUS SYSTEM DRUGS in ATC,N07X,OTHER NERVOUS SYSTEM DRUGS in ATC,N07XX,Other nervous system drugs in ATC,N07XX07,fampridine,18
C0000578,IN,5-hydroxytryptophan,N06AX01,oxitriptan,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06A,ANTIDEPRESSANTS,N06AX,Other antidepressants in ATC,N06AX01,oxitriptan,21
C0000608,IN,6-aminocaproic acid,B02AA01,aminocaproic acid,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AA,Antifibrinolytic amino acids,B02AA01,aminocaproic acid,143
C0000618,IN,mercaptopurine,L01BB02,mercaptopurine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01B,ANTIMETABOLITES,L01BB,"Purine analogs, antimetabolites antineoplastic",L01BB02,mercaptopurine,1352
C0000665,IN,oxyquinoline,A01AB07,oxyquinoline,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB07,oxyquinoline,55
C0000665,IN,oxyquinoline,D08AH03,oxyquinoline,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AH,"Quinoline derivatives, antiseptics and disinfectants",D08AH03,oxyquinoline,55
C0000665,IN,oxyquinoline,G01AC30,oxyquinoline,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AC,Quinoline gynecological antiinfectives,G01AC30,oxyquinoline,55
C0000665,IN,oxyquinoline,R02AA14,oxyquinoline,R,RESPIRATORY SYSTEM DRUGS,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptic throat preparations,R02AA14,oxyquinoline,55
C0000946,IN,acebutolol,C07AB04,acebutolol,C,CARDIOVASCULAR SYSTEM DRUGS,C07,beta-Adrenergic Blocking Agents,C07A,BETA BLOCKING AGENTS,C07AB,"Beta blocking agents, selective",C07AB04,acebutolol,25
C0000956,IN,acenocoumarol,B01AA07,acenocoumarol,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B01,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01AA,Vitamin K antagonists,B01AA07,acenocoumarol,56
C0000959,IN,acepromazine,N05AA04,acepromazine,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05A,ANTIPSYCHOTICS,N05AA,"Phenothiazines with aliphatic side-chain, antipsychotics",N05AA04,acepromazine,5
C0000970,IN,acetaminophen,N02BE01,paracetamol,N,NERVOUS SYSTEM DRUGS,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS in ATC,N02BE,Anilide analgesics and antipyretics,N02BE01,paracetamol,2815
C0000981,IN,acetazolamide,S01EC01,acetazolamide,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EC,"Carbonic anhydrase inhibitors, antiglaucoma drugs and miotics",S01EC01,acetazolamide,416
C0000983,IN,acetic acid,G01AD02,acetic acid,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AD,"Organic acids, Gynecological",G01AD02,acetic acid,345
C0000983,IN,acetic acid,S02AA10,acetic acid,S,SENSORY ORGAN DRUGS,S02,OTOLOGICALS,S02A,"ANTIINFECTIVE DRUGS, OTOLOGIC",S02AA,Antiinfectives,S02AA10,acetic acid,345
C0001017,,,V08AA07,acetrizoic acid,V,VARIOUS DRUG CLASSES IN ATC,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media",V08AA07,acetrizoic acid,1
C0001040,IN,acetylcarnitine,N06BX12,acetylcarnitine,N,NERVOUS SYSTEM DRUGS,N06,PSYCHOANALEPTICS,N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",N06BX,Other psychostimulants and nootropics in ATC,N06BX12,acetylcarnitine,114
C0001041,IN,acetylcholine,S01EB09,acetylcholine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EB,"Parasympathomimetics, antiglaucoma preparations and miotics",S01EB09,acetylcholine,315
C0001047,IN,acetylcysteine,R05CB01,acetylcysteine,R,RESPIRATORY SYSTEM DRUGS,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,R05CB01,acetylcysteine,475
C0001047,IN,acetylcysteine,S01XA08,acetylcysteine,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01X,OTHER OPHTHALMOLOGICALS IN ATC,S01XA,Other ophthalmologicals in ATC,S01XA08,acetylcysteine,475
C0001047,IN,acetylcysteine,V03AB23,acetylcysteine,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB23,acetylcysteine,475
C0001050,IN,acetyldigoxins,C01AA02,acetyldigoxin,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01A,CARDIAC GLYCOSIDES,C01AA,Digitalis glycosides,C01AA02,acetyldigoxin,3
C0001143,IN,aclarubicin,L01DB04,aclarubicin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,L01DB,Anthracyclines and related substances,L01DB04,aclarubicin,30
C0001187,IN,acriflavine,D08AA03,euflavine,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AA,"Acridine derivatives, antiseptics and disinfectants",D08AA03,euflavine,1
C0001268,IN,spectinomycin,J01XX04,spectinomycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS in ATC,J01XX,Other antibacterials in ATC,J01XX04,spectinomycin,25
C0001275,IN,activated charcoal,A07BA01,medicinal charcoal,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",A07B,INTESTINAL ADSORBENTS,A07BA,"Charcoal preparations, intestinal absorbents",A07BA01,medicinal charcoal,1756
C0001367,IN,acyclovir,D06BB03,aciclovir,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BB,"Antivirals, topical",D06BB03,aciclovir,1394
C0001367,IN,acyclovir,J05AB01,aciclovir,J,ANTIINFECTIVES FOR SYSTEMIC USE,J05,ANTIVIRALS FOR SYSTEMIC USE,J05A,DIRECT ACTING ANTIVIRALS,J05AB,Nucleosides and nucleotides excl. reverse transcriptase inhibitors,J05AB01,aciclovir,1394
C0001367,IN,acyclovir,S01AD03,aciclovir,S,SENSORY ORGAN DRUGS,S01,OPHTHALMOLOGICALS,S01A,ANTIINFECTIVE OPHTHALMOLOGICS,S01AD,"Antivirals, ophthalmologic",S01AD03,aciclovir,1394
C0001443,IN,adenosine,C01EB10,adenosine,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01E,OTHER CARDIAC PREPARATIONS in ATC,C01EB,Other plain cardiac preparations in ATC,C01EB10,adenosine,939
C0001655,IN,corticotropin,H01AA01,corticotropin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA,ACTH and synthetic analog preparations,H01AA01,corticotropin,2606
C0001888,IN,ajmaline,C01BA05,ajmaline,C,CARDIOVASCULAR SYSTEM DRUGS,C01,CARDIAC THERAPY DRUGS,C01B,"ANTIARRHYTHMICS, CLASS I AND III",C01BA,"Antiarrhythmics, class Ia",C01BA05,ajmaline,34
C0001911,IN,albendazole,P02CA03,albendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,"Benzimidazole derivatives, antinematodal",P02CA03,albendazole,1170
C0001927,IN,albuterol,R03AC02,salbutamol,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonist inhalants,R03AC02,salbutamol,2369
C0001927,IN,albuterol,R03CC02,salbutamol,R,RESPIRATORY SYSTEM DRUGS,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03C,ADRENERGICS FOR SYSTEMIC USE,R03CC,"Selective beta-2-adrenoreceptor agonists, systemic",R03CC02,salbutamol,2369
C0001962,IN,ethanol,D08AX08,ethanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants in ATC,D08AX08,ethanol,10900
C0001962,IN,ethanol,V03AB16,ethanol,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AB,Antidotes,V03AB16,ethanol,10900
C0001962,IN,ethanol,V03AZ01,ethanol,V,VARIOUS DRUG CLASSES IN ATC,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AZ,Nerve depressant drugs,V03AZ01,ethanol,10900
C0001964,IN,1-propanol,D08AX03,propanol,D,DERMATOLOGICALS,D08,ANTISEPTICS AND DISINFECTANTS,D08A,ANTISEPTICS AND DISINFECTANTS,D08AX,Other antiseptics and disinfectants in ATC,D08AX03,propanol,54
C0001981,IN,alcuronium,M03AA01,alcuronium,M,MUSCULO-SKELETAL SYSTEM DRUGS,M03,MUSCLE RELAXANTS,M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03AA,"Curare alkaloid muscle relaxants, peripherally acting",M03AA01,alcuronium,29
C0002006,IN,aldosterone,H02AA01,aldosterone,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AA,"Mineralocorticoids for systemic use, plain",H02AA01,aldosterone,1323
C0002026,IN,alfentanil,N01AH02,alfentanil,N,NERVOUS SYSTEM DRUGS,N01,ANESTHETICS,N01A,"ANESTHETICS, GENERAL",N01AH,Opioid anesthetics,N01AH02,alfentanil,235
C0002132,IN,allobarbital,N05CA21,allobarbital,N,NERVOUS SYSTEM DRUGS,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CA,"Barbiturates, hypnotics and sedatives, plain",N05CA21,allobarbital,1
C0002144,IN,allopurinol,M04AA01,allopurinol,M,MUSCULO-SKELETAL SYSTEM DRUGS,M04,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04AA,Preparations inhibiting uric acid production,M04AA01,allopurinol,385
C0002158,IN,allylestrenol,G03DC01,allylestrenol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03D,PROGESTOGEN SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03DC,"Estren derivatives, sex hormones and modulators of the genital system",G03DC01,allylestrenol,11
C0002164,IN,almitrine,R07AB07,almitrine,R,RESPIRATORY SYSTEM DRUGS,R07,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07A,OTHER RESPIRATORY SYSTEM PRODUCTS in ATC,R07AB,Respiratory stimulants,R07AB07,almitrine,4
C0002191,IN,alpha 1-antitrypsin,B02AB02,alfa1 antitrypsin,B,BLOOD AND BLOOD FORMING ORGAN DRUGS,B02,ANTIHEMORRHAGICS,B02A,ANTIFIBRINOLYTICS,B02AB,"Proteinase inhibitors, antifibrinolytic",B02AB02,alfa1 antitrypsin,1273
C0002199,,,L03AB01,interferon alfa natural,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AB,Interferons,L03AB01,interferon alfa natural,224
C0002260,IN,eflornithine,D11AX16,eflornithine,D,DERMATOLOGICALS,D11,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11A,OTHER DERMATOLOGICAL PREPARATIONS in ATC,D11AX,OTHER DERMATOLOGICAL PREPARATIONS IN ATC,D11AX16,eflornithine,47
C0002260,IN,eflornithine,L01XX79,eflornithine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS in ATC,L01XX,Other antineoplastic agents in ATC,L01XX79,eflornithine,47
C0002260,IN,eflornithine,P01CX03,eflornithine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01C,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,P01CX,Other agents against leishmaniasis and trypanosomiasis in ATC,P01CX03,eflornithine,47
