cui,unique_pub_count
C0000334,80
C0000378,8
C0000379,16
C0000392,70
C0000402,42
C0000407,23
C0000473,56
C0000477,18
C0000481,30
C0000503,76
C0000545,498
C0000578,21
C0000608,143
C0000618,1352
C0000658,104
C0000665,55
C0000714,4
C0000843,4
C0000946,25
C0000956,56
C0000959,5
C0000970,2815
C0000975,1518
C0000981,416
C0000983,345
C0001017,1
C0001040,114
C0001041,315
C0001047,475
C0001050,3
C0001052,16
C0001056,57
C0001061,6
C0001128,49
C0001143,30
C0001187,1
C0001237,3
C0001246,1
C0001268,25
C0001275,1756
C0001367,1394
C0001392,25
C0001443,939
C0001457,1
C0001459,1
C0001465,140
C0001480,481
C0001655,2606
C0001814,4
C0001888,34
C0001898,1085
C0001911,1170
C0001924,386
C0001927,2369
C0001962,10900
C0001964,54
C0001981,29
C0002006,1323
C0002026,235
C0002027,4
C0002039,12
C0002059,3977
C0002083,43
C0002132,1
C0002139,26
C0002144,385
C0002158,11
C0002164,4
C0002191,1273
C0002199,224
C0002245,297
C0002260,47
C0002268,69
C0002272,283
C0002287,115
C0002302,44
C0002327,17
C0002328,2
C0002333,73
C0002334,4
C0002335,546
C0002367,610
C0002371,210
C0002374,8
C0002403,139
C0002412,1
C0002421,89
C0002435,32
C0002436,54
C0002475,385
C0002496,168
C0002499,1034
C0002502,83
C0002503,16
C0002520,3715
C0002555,9
C0002560,24
C0002563,157
C0002575,471
C0002583,17
C0002586,85
C0002589,2
C0002598,424
C0002600,261
C0002607,1343
C0002615,68
C0002640,77
C0002641,641
C0002644,9
C0002645,2854
C0002658,919
C0002679,1837
C0002680,3007
C0002686,1
C0002697,29
C0002699,70
C0002711,14
C0002728,15
C0002732,8
C0002823,2
C0002860,1348
C0003001,3
C0003009,1035
C0003018,1035
C0003036,25
C0003082,1
C0003143,4
C0003166,29
C0003380,295
C0003382,3
C0003420,160
C0003524,2
C0003596,14
C0003639,5
C0003641,199
C0003682,1
C0003695,1275
C0003729,2
C0003753,9
C0003765,2007
C0003946,2
C0003968,2171
C0003993,1528
C0003995,240
C0003999,75
C0004015,1020
C0004057,2580
C0004147,176
C0004234,246
C0004235,9
C0004237,48
C0004259,1316
C0004320,20
C0004434,208
C0004475,114
C0004476,1
C0004482,2236
C0004499,75
C0004521,199
C0004595,39
C0004599,127
C0004609,399
C0004740,77
C0004743,8
C0004749,489
C0004754,227
C0004886,1989
C0004906,445
C0004960,3
C0004969,1
C0004975,6
C0005013,1
C0005014,15
C0005018,9
C0005025,63
C0005035,5
C0005038,177
C0005041,10
C0005059,83
C0005064,1930
C0005070,10
C0005088,118
C0005096,2
C0005098,25
C0005099,21
C0005100,63
C0005116,3
C0005117,19
C0005214,1
C0005220,593
C0005301,10
C0005304,261
C0005308,1332
C0005320,24
C0005321,3
C0005330,22
C0005372,4
C0005575,772
C0005578,43
C0005632,47
C0005640,12
C0005661,14
C0005740,1377
C0005919,59
C0006020,40
C0006030,92
C0006050,319
C0006051,10
C0006100,101
C0006213,26
C0006217,27
C0006220,39
C0006226,1
C0006230,495
C0006233,84
C0006246,37
C0006351,9
C0006359,1
C0006360,3
C0006376,55
C0006388,4
C0006400,2217
C0006403,1
C0006405,526
C0006456,189
C0006462,40
C0006463,1568
C0006464,1
C0006491,60
C0006507,22
C0006628,92
C0006630,25
C0006632,1660
C0006639,11
C0006644,1306
C0006657,977
C0006668,4
C0006669,594
C0006674,922
C0006675,10191
C0006681,241
C0006686,101
C0006695,26
C0006699,236
C0006700,16
C0006711,564
C0006712,564
C0006720,59
C0006790,1
C0006796,2
C0006809,47
C0006812,170
C0006834,1
C0006863,194
C0006865,18
C0006882,10
C0006886,34
C0006931,54
C0006938,301
C0006945,3
C0006949,2272
C0006971,2
C0006972,4
C0006976,127
C0006979,8
C0006982,147
C0006983,153
C0006992,14
C0007009,1756
C0007010,3
C0007012,2432
C0007018,1357
C0007053,1
C0007068,69
C0007072,33
C0007077,2
C0007248,8
C0007257,222
C0007267,47
C0007299,6
C0007343,23
C0007404,122
C0007537,357
C0007538,81
C0007541,93
C0007545,11
C0007546,526
C0007549,69
C0007550,74
C0007551,14
C0007552,202
C0007554,1483
C0007555,40
C0007556,88
C0007557,218
C0007558,35
C0007559,830
C0007560,191
C0007561,1974
C0007562,576
C0007630,15
C0007648,252
C0007649,22
C0007665,2
C0007710,2
C0007714,8
C0007716,381
C0007721,2
C0007727,22
C0007735,165
C0007737,9
C0007738,74
C0007886,242
C0007906,41
C0008024,185
C0008161,396
C0008163,203
C0008168,1376
C0008173,21
C0008174,22
C0008183,1
C0008188,20
C0008196,773
C0008209,274
C0008214,85
C0008217,2
C0008221,4
C0008223,7
C0008232,7
C0008238,187
C0008240,2
C0008241,158
C0008269,1721
C0008273,61
C0008275,1
C0008281,138
C0008286,272
C0008287,32
C0008290,22
C0008292,1
C0008293,19
C0008294,15
C0008296,8
C0008318,1149
C0008328,141
C0008357,5
