drug,agegroup,prescriptions,pubs,l1,l2,l3,l4,is_first,cui
Abacavir,0-2,59,139,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0724515
Abacavir,11-17,246,139,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0724515
Abacavir,3-10,948,139,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0724515
Abacavir,Total,1253,139,"J, ANTIINFECTIVES FOR SYSTEMIC USE","J05, ANTIVIRALS FOR SYSTEMIC USE","J05A, DIRECT ACTING ANTIVIRALS","J05AF, Nucleoside and nucleotide reverse transcriptase inhibitors",1,C0724515
Abatacept,0-2,28,129,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C1619966
Abatacept,11-17,2324,129,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C1619966
Abatacept,3-10,630,129,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C1619966
Abatacept,Total,2982,129,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L04, IMMUNOSUPPRESSANTS","L04A, IMMUNOSUPPRESSANTS","L04AA, Selective immunosuppressants",1,C1619966
Abemaciclib,0-2,0,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EF, Cyclin-dependent kinase (CDK) inhibitors",1,C3852841
Abemaciclib,11-17,4,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EF, Cyclin-dependent kinase (CDK) inhibitors",1,C3852841
Abemaciclib,3-10,29,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EF, Cyclin-dependent kinase (CDK) inhibitors",1,C3852841
Abemaciclib,Total,33,2,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01, ANTINEOPLASTIC AGENTS","L01E, PROTEIN KINASE INHIBITORS, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L01EF, Cyclin-dependent kinase (CDK) inhibitors",1,C3852841
Abiraterone,0-2,1,1,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02, ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02B, HORMONE ANTAGONISTS AND RELATED AGENTS","L02BX, Other hormone antagonists and related agents in ATC",1,C2607886
Abiraterone,11-17,0,1,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02, ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02B, HORMONE ANTAGONISTS AND RELATED AGENTS","L02BX, Other hormone antagonists and related agents in ATC",1,C2607886
Abiraterone,3-10,0,1,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02, ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02B, HORMONE ANTAGONISTS AND RELATED AGENTS","L02BX, Other hormone antagonists and related agents in ATC",1,C2607886
Abiraterone,Total,1,1,"L, ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02, ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS","L02B, HORMONE ANTAGONISTS AND RELATED AGENTS","L02BX, Other hormone antagonists and related agents in ATC",1,C2607886
Abrocitinib,0-2,0,7,"D, DERMATOLOGICALS","D11, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11A, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11AH, Agents for dermatitis, excluding corticosteroids",1,C5139788
Abrocitinib,11-17,62,7,"D, DERMATOLOGICALS","D11, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11A, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11AH, Agents for dermatitis, excluding corticosteroids",1,C5139788
Abrocitinib,3-10,0,7,"D, DERMATOLOGICALS","D11, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11A, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11AH, Agents for dermatitis, excluding corticosteroids",1,C5139788
Abrocitinib,Total,62,7,"D, DERMATOLOGICALS","D11, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11A, OTHER DERMATOLOGICAL PREPARATIONS in ATC","D11AH, Agents for dermatitis, excluding corticosteroids",1,C5139788
Acarbose,0-2,4,30,"A, ALIMENTARY TRACT AND METABOLISM DRUGS","A10, DRUGS USED IN DIABETES","A10B, BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","A10BF, Alpha glucosidase inhibitors, blood glucose lowering",1,C0050393
