cui,rxnorm_tty,rxnorm_name,drug_display,agegroup,freq,unique_pub_count,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,3066.3333333333335,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,1140.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,117279.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,9524.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,4.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,3.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,54080.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,0-2,619.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,5.222222222222222,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,0.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,30709.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,16.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,34.5,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,5928.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,94608.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
C0037508,IN,sodium fluoride,Sodium Fluoride,11-17,0.0,463,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride
