cui,rxnorm_tty,rxnorm_name,atc_code,atc_name,L1_code,L1_name,L2_code,L2_name,L3_code,L3_name,L4_code,L4_name,L5_code,L5_name,unique_pub_count,drug,agegroup,freq,rule
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Ascorbic Acid/Sodium Fluoride/Vitamin A/Vitamin D,0-2,3066.3333333333335,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Fluoride/Vitamin D,0-2,1140.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Multivitamin and Fluoride,0-2,117279.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Iron, and Fluoride",0-2,9524.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Minerals, Iron, and Fluoride",0-2,4.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Potassium Nitrate/Sodium Fluoride,0-2,3.0,exact_base
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Sodium Fluoride,0-2,54080.5,exact_full
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Vit C/Fe/Na Fluoride/Vit A/Vit D,0-2,619.0,fuzzy_base:100.0
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Ascorbic Acid/Sodium Fluoride/Vitamin A/Vitamin D,11-17,5.222222222222222,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Fluoride/Vitamin D,11-17,0.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Multivitamin and Fluoride,11-17,30709.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Iron, and Fluoride",11-17,16.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Minerals, Iron, and Fluoride",11-17,34.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Potassium Nitrate/Sodium Fluoride,11-17,5928.0,exact_base
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Sodium Fluoride,11-17,94608.0,exact_full
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Vit C/Fe/Na Fluoride/Vit A/Vit D,11-17,0.0,fuzzy_base:100.0
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Ascorbic Acid/Sodium Fluoride/Vitamin A/Vitamin D,3-10,263.44444444444446,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Fluoride/Vitamin D,3-10,90.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Multivitamin and Fluoride,3-10,280242.0,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Iron, and Fluoride",3-10,594.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,"Multivitamin, Minerals, Iron, and Fluoride",3-10,50.5,ingredient:fluoride
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Potassium Nitrate/Sodium Fluoride,3-10,641.5,exact_base
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Sodium Fluoride,3-10,239551.0,exact_full
C0037508,IN,sodium fluoride,A01AA01,sodium fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,463,Vit C/Fe/Na Fluoride/Vit A/Vit D,3-10,29.0,fuzzy_base:100.0
C0038143,IN,stannous fluoride,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride,29,Stannous Fluoride,0-2,6.0,exact_full
C0038143,IN,stannous fluoride,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride,29,Stannous Fluoride,11-17,30.0,exact_full
C0038143,IN,stannous fluoride,A01AA04,stannous fluoride,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride,29,Stannous Fluoride,3-10,86.0,exact_full
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B,0-2,3.0,exact_full
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B Liposome,0-2,0.0,fuzzy_base:100.0
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B,11-17,17.75,exact_full
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B Liposome,11-17,4.5,fuzzy_base:100.0
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B,3-10,13.0,exact_full
C0002679,IN,amphotericin B,A01AB04,amphotericin B,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,1837,Amphotericin B Liposome,3-10,1.25,fuzzy_base:100.0
C0008196,IN,chlorhexidine,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine,773,Chlorhexidine Gluconate,0-2,259.25,exact_base
C0008196,IN,chlorhexidine,A01AB03,chlorhexidine,A,ALIMENTARY TRACT AND METABOLISM DRUGS,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine,773,Chlorhexidine Gluconate,11-17,33659.5,exact_base
