drug,agegroup,freq,match,rule,pubs_index
"1,1,1,3,3-Pentafluoropropane/Norflurane",0-2,3.0,0,no_match,
"1,1,1,3,3-Pentafluoropropane/Norflurane",3-10,73.0,0,no_match,
"1,1,1,3,3-Pentafluoropropane/Norflurane",11-17,114.0,0,no_match,
5-Methyltetrahydrofolate Calcium,0-2,2.0,0,no_match,
5-Methyltetrahydrofolate Calcium,3-10,7.0,0,no_match,
5-Methyltetrahydrofolate Calcium,11-17,8.0,0,no_match,
5-Methyltetrahydrofolic Acid,0-2,0.0,0,no_match,
5-Methyltetrahydrofolic Acid,3-10,0.0,0,no_match,
5-Methyltetrahydrofolic Acid,11-17,3.0,0,no_match,
5-Methyltetrahydrofolic Acid/Glucosamine HCl,0-2,0.0,1,fuzzy_base:100.0,664.0
5-Methyltetrahydrofolic Acid/Glucosamine HCl,3-10,0.0,1,fuzzy_base:100.0,664.0
5-Methyltetrahydrofolic Acid/Glucosamine HCl,11-17,7.0,1,fuzzy_base:100.0,664.0
Abacavir Sulfate,0-2,59.0,1,exact_base,2537.0
Abacavir Sulfate,3-10,948.0,1,exact_base,2537.0
Abacavir Sulfate,11-17,246.0,1,exact_base,2537.0
Abacavir Sulfate/Lamivudine,0-2,0.0,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine,0-2,0.0,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine,3-10,157.0,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine,3-10,157.0,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine,11-17,159.5,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine,11-17,159.5,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine/Zidovudine,0-2,0.0,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine/Zidovudine,0-2,0.0,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine/Zidovudine,0-2,0.0,1,ingredient:zidovudine,1536.0
Abacavir Sulfate/Lamivudine/Zidovudine,3-10,0.3333333333333333,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine/Zidovudine,3-10,0.3333333333333333,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine/Zidovudine,3-10,0.3333333333333333,1,ingredient:zidovudine,1536.0
Abacavir Sulfate/Lamivudine/Zidovudine,11-17,4.666666666666667,1,ingredient:abacavir,2537.0
Abacavir Sulfate/Lamivudine/Zidovudine,11-17,4.666666666666667,1,ingredient:lamivudine,2321.0
Abacavir Sulfate/Lamivudine/Zidovudine,11-17,4.666666666666667,1,ingredient:zidovudine,1536.0
Abacavir/Dolutegravir/Lamivudine,0-2,0.6666666666666666,1,ingredient:abacavir,2537.0
Abacavir/Dolutegravir/Lamivudine,0-2,0.6666666666666666,1,ingredient:dolutegravir,2976.0
Abacavir/Dolutegravir/Lamivudine,0-2,0.6666666666666666,1,ingredient:lamivudine,2321.0
Abacavir/Dolutegravir/Lamivudine,3-10,17.0,1,ingredient:abacavir,2537.0
Abacavir/Dolutegravir/Lamivudine,3-10,17.0,1,ingredient:dolutegravir,2976.0
Abacavir/Dolutegravir/Lamivudine,3-10,17.0,1,ingredient:lamivudine,2321.0
Abacavir/Dolutegravir/Lamivudine,11-17,356.0,1,ingredient:abacavir,2537.0
Abacavir/Dolutegravir/Lamivudine,11-17,356.0,1,ingredient:dolutegravir,2976.0
Abacavir/Dolutegravir/Lamivudine,11-17,356.0,1,ingredient:lamivudine,2321.0
Abatacept,0-2,28.0,1,exact_full,2788.0
Abatacept,3-10,630.0,1,exact_full,2788.0
Abatacept,11-17,2324.0,1,exact_full,2788.0
Abemaciclib,0-2,0.0,1,exact_full,3047.0
Abemaciclib,3-10,29.0,1,exact_full,3047.0
Abemaciclib,11-17,4.0,1,exact_full,3047.0
Abiraterone Acetate,0-2,1.0,1,exact_base,2569.0
Abiraterone Acetate,3-10,0.0,1,exact_base,2569.0
Abiraterone Acetate,11-17,0.0,1,exact_base,2569.0
AbobotulinumtoxinA,0-2,5.0,0,no_match,
AbobotulinumtoxinA,3-10,60.0,0,no_match,
AbobotulinumtoxinA,11-17,65.0,0,no_match,
Abrocitinib,0-2,0.0,1,exact_full,3198.0
Abrocitinib,3-10,0.0,1,exact_full,3198.0
Abrocitinib,11-17,62.0,1,exact_full,3198.0
Acacia,0-2,7.0,0,no_match,
Acacia,3-10,1.0,0,no_match,
Acacia,11-17,0.0,0,no_match,
Acamprosate Calcium,0-2,0.0,1,exact_base,2387.0
Acamprosate Calcium,3-10,34.0,1,exact_base,2387.0
Acamprosate Calcium,11-17,296.0,1,exact_base,2387.0
Acarbose,0-2,4.0,1,exact_full,1563.0
Acarbose,3-10,73.0,1,exact_full,1563.0
Acarbose,11-17,201.0,1,exact_full,1563.0
Acebutolol Hydrochloride,0-2,0.0,1,exact_base,11.0
Acebutolol Hydrochloride,3-10,23.0,1,exact_base,11.0
Acebutolol Hydrochloride,11-17,113.0,1,exact_base,11.0
Acesulfame Potassium,0-2,11.0,0,no_match,
Acesulfame Potassium,3-10,10.0,0,no_match,
Acesulfame Potassium,11-17,0.0,0,no_match,
Acetaminophen,0-2,4996.0,1,exact_full,14.0
Acetaminophen,3-10,5290.0,1,exact_full,14.0
Acetaminophen,11-17,3265.0,1,exact_full,14.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:acetaminophen,14.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:aspirin,112.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:aspirin,113.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:aspirin,114.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:caffeine,202.0
Acetaminophen/Aspirin/Caffeine,0-2,0.0,1,ingredient:caffeine,203.0
Acetaminophen/Aspirin/Caffeine,3-10,0.0,1,ingredient:acetaminophen,14.0
